answer_type,count,equation_type,rate,source
equation_state,121,linear_one_step,0.8287671232876712,human
ui_token,8,linear_one_step,0.0547945205479452,human
variable_assignment,12,linear_one_step,0.0821917808219178,human
variable_isolated_equation,5,linear_one_step,0.03424657534246575,human
equation_state,247,linear_two_step,0.8884892086330936,human
ui_token,13,linear_two_step,0.046762589928057555,human
variable_assignment,10,linear_two_step,0.03597122302158273,human
variable_isolated_equation,8,linear_two_step,0.02877697841726619,human
equation_state,11,linear_variable_both_sides,0.8461538461538461,human
variable_assignment,1,linear_variable_both_sides,0.07692307692307693,human
variable_isolated_equation,1,linear_variable_both_sides,0.07692307692307693,human
equation_state,85,linear_with_denominator,0.8252427184466019,human
ui_token,14,linear_with_denominator,0.13592233009708737,human
variable_assignment,2,linear_with_denominator,0.019417475728155338,human
variable_isolated_equation,2,linear_with_denominator,0.019417475728155338,human
equation_state,79,reciprocal_variable_denominator,0.8061224489795918,human
ui_token,10,reciprocal_variable_denominator,0.10204081632653061,human
variable_assignment,6,reciprocal_variable_denominator,0.061224489795918366,human
variable_isolated_equation,3,reciprocal_variable_denominator,0.030612244897959183,human
equation_state,23027,linear_one_step,0.9998697351280937,synthetic_raw
variable_assignment,3,linear_one_step,0.00013026487190620929,synthetic_raw
equation_state,82250,linear_two_step,0.9999878420931052,synthetic_raw
variable_assignment,1,linear_two_step,1.2157906894749e-05,synthetic_raw
equation_state,4591,linear_variable_both_sides,1.0,synthetic_raw
equation_state,33119,linear_with_denominator,1.0,synthetic_raw
equation_state,27539,reciprocal_variable_denominator,0.9991655177418185,synthetic_raw
variable_assignment,23,reciprocal_variable_denominator,0.0008344822581815544,synthetic_raw
equation_state,17366,linear_one_step,0.7540599218410768,synthetic_translated
numeric_scalar,5662,linear_one_step,0.24585323491098568,synthetic_translated
variable_assignment,2,linear_one_step,8.684324793747286e-05,synthetic_translated
equation_state,61869,linear_two_step,0.7521975416712259,synthetic_translated
numeric_scalar,20381,linear_two_step,0.24779030042187936,synthetic_translated
variable_assignment,1,linear_two_step,1.2157906894749e-05,synthetic_translated
equation_state,3465,linear_variable_both_sides,0.754737529949902,synthetic_translated
numeric_scalar,1126,linear_variable_both_sides,0.24526247005009802,synthetic_translated
equation_state,24868,linear_with_denominator,0.7508680817657538,synthetic_translated
numeric_scalar,8251,linear_with_denominator,0.2491319182342462,synthetic_translated
equation_state,20662,reciprocal_variable_denominator,0.7496553225455337,synthetic_translated
numeric_scalar,6882,reciprocal_variable_denominator,0.24969160438284596,synthetic_translated
variable_assignment,18,reciprocal_variable_denominator,0.0006530730716203468,synthetic_translated
