correct,equation_type,metric,source_a,source_b,total_variation
,linear_one_step,stuck_stage_tv,human,synthetic_raw,0.03424657534246576
,linear_two_step,stuck_stage_tv,human,synthetic_raw,0.024463326810922427
,linear_variable_both_sides,stuck_stage_tv,human,synthetic_raw,0.0
,linear_with_denominator,stuck_stage_tv,human,synthetic_raw,0.0
,reciprocal_variable_denominator,stuck_stage_tv,human,synthetic_raw,0.010440283798012326
correct,linear_one_step,step_count_tv,human,synthetic_raw,0.9956086085213907
incorrect,linear_one_step,step_count_tv,human,synthetic_raw,0.0008553465105074418
correct,linear_two_step,step_count_tv,human,synthetic_raw,0.9946192501999309
incorrect,linear_two_step,step_count_tv,human,synthetic_raw,6.643115314074535e-05
correct,linear_variable_both_sides,step_count_tv,human,synthetic_raw,1.0
incorrect,linear_variable_both_sides,step_count_tv,human,synthetic_raw,0.0
correct,linear_with_denominator,step_count_tv,human,synthetic_raw,1.0
incorrect,linear_with_denominator,step_count_tv,human,synthetic_raw,0.0
correct,reciprocal_variable_denominator,step_count_tv,human,synthetic_raw,0.9930394431554525
incorrect,reciprocal_variable_denominator,step_count_tv,human,synthetic_raw,0.0002362021653592658
,linear_one_step,answer_type_tv,human,synthetic_translated,0.24585323491098565
,linear_two_step,answer_type_tv,human,synthetic_translated,0.24779030042187938
,linear_variable_both_sides,answer_type_tv,human,synthetic_translated,0.24526247005009805
,linear_with_denominator,answer_type_tv,human,synthetic_translated,0.24913191823424619
,reciprocal_variable_denominator,answer_type_tv,human,synthetic_translated,0.24969160438284596
