correct,count,equation_type,num_steps,rate,source
correct,706,linear_one_step,1,0.9751381215469613,human
correct,18,linear_one_step,2,0.024861878453038673,human
incorrect,141,linear_one_step,1,0.9657534246575342,human
incorrect,5,linear_one_step,2,0.03424657534246575,human
correct,1296,linear_two_step,1,0.9664429530201343,human
correct,40,linear_two_step,2,0.02982848620432513,human
correct,5,linear_two_step,3,0.0037285607755406414,human
incorrect,267,linear_two_step,1,0.960431654676259,human
incorrect,11,linear_two_step,2,0.039568345323741004,human
correct,119,linear_variable_both_sides,1,1.0,human
incorrect,13,linear_variable_both_sides,1,1.0,human
correct,485,linear_with_denominator,1,1.0,human
incorrect,103,linear_with_denominator,1,1.0,human
correct,428,reciprocal_variable_denominator,1,0.9930394431554525,human
correct,3,reciprocal_variable_denominator,2,0.0069605568445475635,human
incorrect,96,reciprocal_variable_denominator,1,0.9795918367346939,human
incorrect,2,reciprocal_variable_denominator,2,0.02040816326530612,human
correct,504,linear_one_step,2,0.004391391478609392,synthetic_raw
correct,114266,linear_one_step,3,0.9956086085213907,synthetic_raw
incorrect,22261,linear_one_step,1,0.9666087711680417,synthetic_raw
incorrect,769,linear_one_step,2,0.03339122883195832,synthetic_raw
correct,656,linear_two_step,2,0.0016521890245284588,synthetic_raw
correct,114829,linear_two_step,3,0.2892061181365524,synthetic_raw
correct,236092,linear_two_step,4,0.5946167853338001,synthetic_raw
correct,45472,linear_two_step,5,0.11452490750511901,synthetic_raw
incorrect,78991,linear_two_step,1,0.9603652235231183,synthetic_raw
incorrect,3260,linear_two_step,2,0.03963477647688174,synthetic_raw
correct,183,linear_variable_both_sides,3,0.0044086824544074775,synthetic_raw
correct,2052,linear_variable_both_sides,4,0.049435062275651066,synthetic_raw
correct,39274,linear_variable_both_sides,5,0.9461562552699414,synthetic_raw
incorrect,4591,linear_variable_both_sides,1,1.0,synthetic_raw
correct,38129,linear_with_denominator,2,0.246182553056863,synthetic_raw
correct,116752,linear_with_denominator,3,0.753817446943137,synthetic_raw
incorrect,33119,linear_with_denominator,1,1.0,synthetic_raw
correct,4223,reciprocal_variable_denominator,2,0.03483231330111021,synthetic_raw
correct,117015,reciprocal_variable_denominator,3,0.9651676866988897,synthetic_raw
incorrect,26993,reciprocal_variable_denominator,1,0.9793556345693346,synthetic_raw
incorrect,569,reciprocal_variable_denominator,2,0.020644365430665407,synthetic_raw
correct,241,linear_one_step,1,0.00209985187766838,synthetic_translated
correct,57420,linear_one_step,2,0.5003049577415701,synthetic_translated
correct,57109,linear_one_step,3,0.4975951903807615,synthetic_translated
incorrect,17066,linear_one_step,1,0.7410334346504559,synthetic_translated
incorrect,5764,linear_one_step,2,0.2502822405557968,synthetic_translated
incorrect,200,linear_one_step,3,0.008684324793747287,synthetic_translated
correct,198451,linear_two_step,1,0.49981488430898957,synthetic_translated
correct,338,linear_two_step,2,0.0008512803205649681,synthetic_translated
correct,57440,linear_two_step,3,0.14466728287944308,synthetic_translated
correct,118044,linear_two_step,4,0.2973033555052399,synthetic_translated
correct,22776,linear_two_step,5,0.05736319698576246,synthetic_translated
incorrect,60982,linear_two_step,1,0.7414134782555836,synthetic_translated
incorrect,20427,linear_two_step,2,0.24834956413903783,synthetic_translated
incorrect,842,linear_two_step,3,0.010236957605378658,synthetic_translated
correct,20781,linear_variable_both_sides,2,0.5006384157652557,synthetic_translated
correct,80,linear_variable_both_sides,3,0.0019272928762437062,synthetic_translated
correct,1000,linear_variable_both_sides,4,0.024091160953046326,synthetic_translated
correct,19648,linear_variable_both_sides,5,0.4733431304054542,synthetic_translated
incorrect,3379,linear_variable_both_sides,1,0.736005227619255,synthetic_translated
incorrect,1212,linear_variable_both_sides,2,0.2639947723807449,synthetic_translated
correct,77564,linear_with_denominator,1,0.5007973863805115,synthetic_translated
correct,19091,linear_with_denominator,2,0.12326237563032263,synthetic_translated
correct,58226,linear_with_denominator,3,0.37594023798916587,synthetic_translated
incorrect,24595,linear_with_denominator,1,0.7426250792596395,synthetic_translated
incorrect,8524,linear_with_denominator,2,0.2573749207403605,synthetic_translated
correct,60612,reciprocal_variable_denominator,1,0.4999422623269932,synthetic_translated
correct,2128,reciprocal_variable_denominator,2,0.017552252594071165,synthetic_translated
correct,58498,reciprocal_variable_denominator,3,0.48250548507893565,synthetic_translated
incorrect,20687,reciprocal_variable_denominator,1,0.7505623684783398,synthetic_translated
incorrect,6720,reciprocal_variable_denominator,2,0.24381394673826282,synthetic_translated
incorrect,155,reciprocal_variable_denominator,3,0.0056236847833974314,synthetic_translated
