count,equation_type,rate,source,stuck_stage
1,linear_one_step,0.00684931506849315,human,after_combine_terms
4,linear_one_step,0.0273972602739726,human,after_move_constants
141,linear_one_step,0.9657534246575342,human,stuck_at_original_or_first_state
1,linear_two_step,0.0035971223021582736,human,after_expand_or_simplify
3,linear_two_step,0.01079136690647482,human,after_isolate_variable
7,linear_two_step,0.025179856115107913,human,after_move_constants
267,linear_two_step,0.960431654676259,human,stuck_at_original_or_first_state
13,linear_variable_both_sides,1.0,human,stuck_at_original_or_first_state
103,linear_with_denominator,1.0,human,stuck_at_original_or_first_state
1,reciprocal_variable_denominator,0.01020408163265306,human,after_clear_fractions
1,reciprocal_variable_denominator,0.01020408163265306,human,after_isolate_variable
96,reciprocal_variable_denominator,0.9795918367346939,human,stuck_at_original_or_first_state
3,linear_one_step,0.00013026487190620929,synthetic_raw,after_isolate_variable
766,linear_one_step,0.033260963960052105,synthetic_raw,after_rewrite
22261,linear_one_step,0.9666087711680417,synthetic_raw,stuck_at_original_or_first_state
3,linear_two_step,3.6473720684247e-05,synthetic_raw,after_clear_fractions
2305,linear_two_step,0.028023975392396445,synthetic_raw,after_expand_or_simplify
1,linear_two_step,1.2157906894749e-05,synthetic_raw,after_isolate_variable
951,linear_two_step,0.0115621694569063,synthetic_raw,after_move_constants
78991,linear_two_step,0.9603652235231183,synthetic_raw,stuck_at_original_or_first_state
4591,linear_variable_both_sides,1.0,synthetic_raw,stuck_at_original_or_first_state
33119,linear_with_denominator,1.0,synthetic_raw,stuck_at_original_or_first_state
546,reciprocal_variable_denominator,0.019809883172483854,synthetic_raw,after_clear_fractions
23,reciprocal_variable_denominator,0.0008344822581815544,synthetic_raw,after_clear_fractions_and_isolate_variable
26993,reciprocal_variable_denominator,0.9793556345693346,synthetic_raw,stuck_at_original_or_first_state
1,linear_one_step,4.342162396873643e-05,synthetic_translated,after_isolate_variable
5768,linear_one_step,0.25045592705167175,synthetic_translated,after_move_constants
195,linear_one_step,0.008467216673903604,synthetic_translated,after_rewrite
17066,linear_one_step,0.7410334346504559,synthetic_translated,stuck_at_original_or_first_state
2,linear_two_step,2.4315813789498e-05,synthetic_translated,after_clear_fractions
543,linear_two_step,0.006601743443848707,synthetic_translated,after_expand_or_simplify
1,linear_two_step,1.2157906894749e-05,synthetic_translated,after_isolate_variable
20723,linear_two_step,0.25194830457988354,synthetic_translated,after_move_constants
60982,linear_two_step,0.7414134782555836,synthetic_translated,stuck_at_original_or_first_state
1212,linear_variable_both_sides,0.2639947723807449,synthetic_translated,after_move_constants
3379,linear_variable_both_sides,0.736005227619255,synthetic_translated,stuck_at_original_or_first_state
8524,linear_with_denominator,0.2573749207403605,synthetic_translated,after_move_constants
24595,linear_with_denominator,0.7426250792596395,synthetic_translated,stuck_at_original_or_first_state
130,reciprocal_variable_denominator,0.004716638850591394,synthetic_translated,after_clear_fractions
3,reciprocal_variable_denominator,0.00010884551193672448,synthetic_translated,after_clear_fractions_and_isolate_variable
6742,reciprocal_variable_denominator,0.24461214715913213,synthetic_translated,after_move_constants
20687,reciprocal_variable_denominator,0.7505623684783398,synthetic_translated,stuck_at_original_or_first_state
