subjid,trial,oper,op1,op2,prob,resp,day,month,year,hour,minute,second,condition,trial_sub,op1num,op1den,op2num,op2den,ansW,ansNum,ansDen,rt,age,sex,grade,race,hand,PSSAverb,PSSAmath,scrap,Stratrt,Trial ID,corAnswer,parAnswer,arithCorrect,prob,resp,strategy,code,Exp,Comments
620,401,+,3/5,2/5,3/5+2/5,5/10,26,9,2008,9,19,4,4,2,3,5,2,5,-99999,5,10,9047,11,0,6,1,1,,,,10875,401,1,0.5,0,3/5+2/5,5/10,"I took 3 plus 2 and got 5, and 5 plus 5 and got 10, which is 5/10",3,CG,
620,402,+,3/5,1/2,3/5+1/2,4/7,26,9,2008,9,18,41,4,1,3,5,1,2,-99999,4,7,11765,11,0,6,1,1,,,,10875,402,1.1,0.571428571,0,3/5+1/2,4/7,"I took 3 plus 1 equals 4, and 5 plus 2 equals 7, and I got 4/7",3,CG,
620,501,:,3/5,1/2,3/5:1/2,3/7,26,9,2008,9,17,15,5,1,3,5,1,2,-99999,3,7,18797,11,0,6,1,1,,,,14625,501,1.2,0.428571429,0,3/5:1/2,3/7,"I took 3 divided by 1 and got 3, 5 divided by 2 and got 7",3,CG,
620,502,:,3/5,2/5,3/5:2/5,1/2,26,9,2008,9,17,48,5,2,3,5,2,5,-99999,1,2,30031,11,0,6,1,1,,,,9281,502,1.5,0.5,0,3/5:2/5,1/2,"I took 3 divided by 2 and got 1, and 5 divided by 5 and got 2",3,CG,
620,601,*,3/5,2/5,3/5*2/5,6/25,26,9,2008,9,7,32,6,1,3,5,2,5,-99999,6,25,13297,11,0,6,1,1,,,,11765,601,0.24,0.24,1,3/5*2/5,6/25,"I multiplied 3 times 2 and got 6, and 5 times 5 and got 25, and my answer was 6/25",3,CG,
620,602,*,3/5,1/2,3/5*1/2,3/10,26,9,2008,9,7,57,6,2,3,5,1,2,-99999,3,10,6547,11,0,6,1,1,,,,15157,602,0.3,0.3,1,3/5*1/2,3/10,"I did 3 times 1 which equaled 3, and 5 times 2 and it'd equal 10, and my answer was 3/10",3,CG,
620,701,-,3/5,2/5,3/5-2/5,1/9,26,9,2008,9,1,17,7,1,3,5,2,5,-99999,1,9,39250,11,0,6,1,1,,,,17000,701,0.2,0.111111111,0,3/5-2/5,1/9,"I subtracted 3-2 and got 1, then 5-5 and got 0",3,CG,
620,702,-,3/5,1/2,3/5-1/2,2/3,26,9,2008,9,2,14,7,2,3,5,1,2,-99999,2,3,10063,11,0,6,1,1,,,,9656,702,0.1,0.666666667,0,3/5-1/2,2/3,"I subtracted 3 and 1 and got 2, and 5 and 2 and got 3",3,CG,
622,401,+,3/5,2/5,3/5+2/5,5/5,26,9,2008,24,2,42,4,1,3,5,2,5,-99999,5,5,10391,11,1,6,1,1,,,,17656,401,1,1,1,3/5+2/5,5/5,3 plus 2 is 5. If the denominators are the same you don't do anything to them. That is an improper fraction.,1,CG,
622,402,+,3/5,1/2,3/5+1/2,4/7,26,9,2008,24,3,10,4,2,3,5,1,2,-99999,4,7,12625,11,1,6,1,1,,,,10765,402,1.1,0.571428571,0,3/5+1/2,4/7,"3 plus 1 is 4, and 5 plus 2 is 7. I know this is wrong, but I don't know how it works.",3,CG,
622,501,:,3/5,1/2,3/5:1/2,44/4,26,9,2008,24,8,54,5,2,3,5,1,2,-99999,44,4,18734,11,1,6,1,1,,,,9266,501,1.2,11,0,3/5:1/2,44/4,I forget this. I don’t know. I have no clue what I did or how I did it.,20,CG,
622,502,:,3/5,2/5,3/5:2/5,1/5,26,9,2008,24,8,38,5,1,3,5,2,5,-99999,1,5,8188,11,1,6,1,1,,,,8219,502,1.5,0.2,0,3/5:2/5,1/5,"I know that 5 divided by 2 is 1, and 5 and 5 are the same, so you keep it the same",1,CG,
622,601,*,3/5,2/5,3/5*2/5,5/5,26,9,2008,11,59,2,6,1,3,5,2,5,-99999,5,5,14266,11,1,6,1,1,,,,40344,601,0.24,1,0,3/5*2/5,5/5,"The numerator stays the same and the 3, or no it's timed, I added but I should have multiplied. The bottom number, if both of the numbers are the same, it just stays the same way, but you multiply the top numbers ",1,CG,
622,602,*,3/5,1/2,3/5*1/2,10 3/3,26,9,2008,11,59,57,6,2,3,5,1,2,10,3,3,38594,11,1,6,1,1,,,,13562,602,0.3,11,0,3/5*1/2,10 3/3,"I've done this before, but I forget, I know how it works whenever you use fractions, but I forget how it works whenever you're doing improper fractions",20,CG,
