"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","3/7"
"3/5:2/5","1/2"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/9"
"3/5-1/2","2/3"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","1/2"
"3/5:2/5","1/2"
"3/5*2/5","5/10"
"3/5*1/2","3/4"
"3/5-2/5","1/2"
"3/5-1/2","2/3"
"3/5+2/5","5/5"
"3/5+1/2","4/7"
"3/5:1/2","44/4"
"3/5:2/5","1/5"
"3/5*2/5","5/5"
"3/5*1/2","33/3"
"3/5-2/5","1/9"
"3/5-1/2","2/3"
"3/5+2/5","5/10"
"3/5+1/2","4/10"
"3/5:1/2","3/10"
"3/5:2/5","0/5"
"3/5*2/5","6/5"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","2/10"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","12/1"
"3/5:2/5","15/1"
"3/5*2/5","6/10"
"3/5*1/2","30/100"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","3/3"
"3/5:2/5","1/1"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","2/3"
"3/5+2/5","1/2"
"3/5+1/2","4/6"
"3/5:1/2","3/4"
"3/5:2/5","1/1"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","3/2"
"3/5:2/5","3/1"
"3/5*2/5","6/5"
"3/5*1/2","30/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","8/3"
"3/5:2/5","1/1"
"3/5*2/5","6/10"
"3/5*1/2","3/10"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","5/5"
"3/5+1/2","4/8"
"3/5:1/2","2/3"
"3/5:2/5","3/1"
"3/5*2/5","6/25"
"3/5*1/2","13/10"
"3/5-2/5","1/5"
"3/5-1/2","2/3"
"3/5+2/5","1/1"
"3/5+1/2","2/3"
"3/5:1/2","3/4"
"3/5:2/5","1/5"
"3/5*2/5","6/5"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","4/3"
"3/5+2/5","5/5"
"3/5+1/2","11/10"
"3/5:1/2","1/10"
"3/5:2/5","1/5"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","3/2"
"3/5:2/5","1/1"
"3/5*2/5","6/25"
"3/5*1/2","4/10"
"3/5-2/5","1/5"
"3/5-1/2","2/3"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","6/5"
"3/5:2/5","3/2"
"3/5*2/5","6/5"
"3/5*1/2","3/1"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","11/10"
"3/5+1/2","19/10"
"3/5:1/2","1/10"
"3/5:2/5","1/5"
"3/5*2/5","6/25"
"3/5*1/2","30/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","15/20"
"3/5+1/2","11/12"
"3/5:1/2","4/7"
"3/5:2/5","5/10"
"3/5*2/5","10/20"
"3/5*1/2","11/20"
"3/5-2/5","3/8"
"3/5-1/2","1/4"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","3/2"
"3/5:2/5","1/1"
"3/5*2/5","6/10"
"3/5*1/2","3/10"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","5/5"
"3/5+1/2","4/7"
"3/5:1/2","3/10"
"3/5:2/5","1/5"
"3/5*2/5","6/5"
"3/5*1/2","3/10"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","1/1"
"3/5+1/2","4/7"
"3/5:1/2","7/4"
"3/5:2/5","1/5"
"3/5*2/5","1/2"
"3/5*1/2","8/14"
"3/5-2/5","1/5"
"3/5-1/2","2/3"
"3/5+2/5","5/5"
"3/5+1/2","1/2"
"3/5:1/2","3/4"
"3/5:2/5","6/5"
"3/5*2/5","1/2"
"3/5*1/2","3/5"
"3/5-2/5","6/5"
"3/5-1/2","4/4"
"3/5+2/5","1/1"
"3/5+1/2","4/7"
"3/5:1/2","3/1"
"3/5:2/5","5/2"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","5/5"
"3/5+1/2","4/7"
"3/5:1/2","5/2"
"3/5:2/5","1/1"
"3/5*2/5","6/5"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","2/3"
"3/5+2/5","7/8"
"3/5+1/2","6/5"
"3/5:1/2","3/2"
"3/5:2/5","1/1"
"3/5*2/5","2/3"
"3/5*1/2","5/6"
"3/5-2/5","3/2"
"3/5-1/2","4/1"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","3/10"
"3/5:2/5","1/5"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","1/10"
"3/5:2/5","1/5"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/5"
"3/5+1/2","11/10"
"3/5:1/2","5/2"
"3/5:2/5","1/1"
"3/5*2/5","6/25"
"3/5*1/2","2/5"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","6/5"
"3/5:2/5","3/2"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","6/5"
"3/5:2/5","15/10"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/1"
"3/5-1/2","2/3"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","6/5"
"3/5:2/5","3/2"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/10"
"3/5+1/2","4/7"
"3/5:1/2","1/10"
"3/5:2/5","1/5"
"3/5*2/5","150/25"
"3/5*1/2","30/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","1/1"
"3/5+1/2","11/10"
"3/5:1/2","6/5"
"3/5:2/5","15/10"
"3/5*2/5","6/25"
"3/5*1/2","3/10"
"3/5-2/5","1/5"
"3/5-1/2","1/10"
"3/5+2/5","5/5"
"3/5+1/2","4/7"
