Unnamed: 0,subjid,g,d,c,rt_mu,rt_sd,ice,prob,notation,operation,operands,denoms,key,steps,time,acc,ans,KDON_AS,KDON_OG,CDON_AS,CDON_OG,ONOD_M,ONOD_OG,CROP_M,ICDM_D,ICDM_OG
0,811,0.09,0.1,5,5,1,25,3/5+1/5,fraction,add,FR,ED,0.8,19,0.09484923118725419,0,2/5,0,0,0,0,0,1,0,0,0
1,811,0.09,0.1,5,5,1,25,4/5+3/5,fraction,add,FR,ED,1.4,12,0.0492809962015599,1,7/5,0,1,0,0,0,0,0,0,0
2,811,0.09,0.1,5,5,1,25,3/5+1/4,fraction,add,FR,UD,0.85,15,0.0712567011360079,0,4/9,0,0,0,0,0,1,0,0,0
3,811,0.09,0.1,5,5,1,25,2/3+3/5,fraction,add,FR,UD,1.266666666666667,46,0.188615296036005,1,19/15,0,0,0,1,0,0,0,0,0
4,811,0.09,0.1,5,5,1,25,3/5-1/5,fraction,sub,FR,ED,0.4,11,0.03957733605057001,1,2/5,0,1,0,0,0,0,0,0,0
5,811,0.09,0.1,5,5,1,25,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,11,0.03978745499625802,1,1/5,0,1,0,0,0,0,0,0,0
6,811,0.09,0.1,5,5,1,25,3/5-1/4,fraction,sub,FR,UD,0.35,25,0.134219623869285,1,7/20,0,0,0,1,0,0,0,0,0
7,811,0.09,0.1,5,5,1,25,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,13,0.05264993500895798,0,1/2,0,0,0,0,0,1,0,0,0
8,811,0.09,0.1,5,5,1,25,3/5*1/5,fraction,mul,FR,ED,0.12,12,0.04967986606061459,0,3/5,0,1,0,0,0,0,0,0,0
9,811,0.09,0.1,5,5,1,25,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,15,0.07180252391844988,1,12/25,0,0,0,0,0,1,0,0,0
10,811,0.09,0.1,5,5,1,25,3/5*1/4,fraction,mul,FR,UD,0.15,15,0.07267393497750163,1,3/20,0,0,0,0,0,1,0,0,0
11,811,0.09,0.1,5,5,1,25,2/3*3/5,fraction,mul,FR,UD,0.4,19,0.09742930205538869,1,2/5,0,0,0,0,0,1,0,0,0
12,811,0.09,0.1,5,5,1,25,3/5:1/5,fraction,div,FR,ED,3.0,13,0.06216907710768282,1,3/1,0,0,0,0,0,1,0,0,0
13,811,0.09,0.1,5,5,1,25,4/5:3/5,fraction,div,FR,ED,1.333333333333333,11,0.0405387170612812,0,1/5,0,1,0,0,0,0,0,0,0
14,811,0.09,0.1,5,5,1,25,3/5:1/4,fraction,div,FR,UD,2.4,13,0.05360364494845271,0,3/1,0,0,0,0,0,1,0,0,0
15,811,0.09,0.1,5,5,1,25,2/3:3/5,fraction,div,FR,UD,1.111111111111111,13,0.05328325997106731,0,0/0,0,0,0,0,0,1,0,0,0
0,457,0.05,0.5,5,6,1,50,3/5+1/5,fraction,add,FR,ED,0.8,19,0.07599914097227156,0,2/5,0,0,0,0,0,1,0,0,0
1,457,0.05,0.5,5,6,1,50,4/5+3/5,fraction,add,FR,ED,1.4,12,0.03949162689968944,1,7/5,0,1,0,0,0,0,0,0,0
2,457,0.05,0.5,5,6,1,50,3/5+1/4,fraction,add,FR,UD,0.85,15,0.06001335801556706,0,4/9,0,0,0,0,0,0,0,0,1
3,457,0.05,0.5,5,6,1,50,2/3+3/5,fraction,add,FR,UD,1.266666666666667,18,0.06588377896696329,0,7/6,0,0,0,0,0,0,0,0,1
4,457,0.05,0.5,5,6,1,50,3/5-1/5,fraction,sub,FR,ED,0.4,11,0.0320693978574127,1,2/5,0,1,0,0,0,0,0,0,0
5,457,0.05,0.5,5,6,1,50,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,11,0.03168635489419103,1,1/5,0,1,0,0,0,0,0,0,0
6,457,0.05,0.5,5,6,1,50,3/5-1/4,fraction,sub,FR,UD,0.35,13,0.04173226305283606,0,2/1,0,0,0,0,0,1,0,0,0
7,457,0.05,0.5,5,6,1,50,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,13,0.04122411389835179,0,-1/-2,0,0,0,0,0,1,0,0,0
8,457,0.05,0.5,5,6,1,50,3/5*1/5,fraction,mul,FR,ED,0.12,12,0.05370342894457281,1,3/25,0,0,0,0,0,1,0,0,0
9,457,0.05,0.5,5,6,1,50,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,20,0.07876678789034486,0,4/3,0,0,0,0,0,0,1,0,0
10,457,0.05,0.5,5,6,1,50,3/5*1/4,fraction,mul,FR,UD,0.15,15,0.05731901084072888,1,3/20,0,0,0,0,1,0,0,0,0
11,457,0.05,0.5,5,6,1,50,2/3*3/5,fraction,mul,FR,UD,0.4,19,0.0775948038790375,1,2/5,0,0,0,0,0,1,0,0,0
12,457,0.05,0.5,5,6,1,50,3/5:1/5,fraction,div,FR,ED,3.0,13,0.04318851698189974,1,3/1,0,0,0,0,0,1,0,0,0
13,457,0.05,0.5,5,6,1,50,4/5:3/5,fraction,div,FR,ED,1.333333333333333,22,0.08309032605029643,1,4/3,0,0,0,0,0,0,0,0,1
14,457,0.05,0.5,5,6,1,50,3/5:1/4,fraction,div,FR,UD,2.4,18,0.06267791194841266,0,5/12,0,0,0,0,0,0,0,1,0
15,457,0.05,0.5,5,6,1,50,2/3:3/5,fraction,div,FR,UD,1.111111111111111,16,0.06798510695807636,0,1/15,0,0,0,1,0,0,0,0,0
0,913,0.1,0.1,5,5,1,75,3/5+1/5,fraction,add,FR,ED,0.8,12,0.05001369584351778,1,4/5,0,1,0,0,0,0,0,0,0
1,913,0.1,0.1,5,5,1,75,4/5+3/5,fraction,add,FR,ED,1.4,12,0.04981412622146308,1,7/5,1,0,0,0,0,0,0,0,0
2,913,0.1,0.1,5,5,1,75,3/5+1/4,fraction,add,FR,UD,0.85,58,0.3049227020237595,1,17/20,0,0,0,1,0,0,0,0,0
3,913,0.1,0.1,5,5,1,75,2/3+3/5,fraction,add,FR,UD,1.266666666666667,66,0.2696175340097398,1,19/15,0,0,0,1,0,0,0,0,0
4,913,0.1,0.1,5,5,1,75,3/5-1/5,fraction,sub,FR,ED,0.4,11,0.04065256495960057,1,2/5,0,1,0,0,0,0,0,0,0
5,913,0.1,0.1,5,5,1,75,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,11,0.04044720879755914,1,1/5,1,0,0,0,0,0,0,0,0
6,913,0.1,0.1,5,5,1,75,3/5-1/4,fraction,sub,FR,UD,0.35,36,0.171789679909125,1,7/20,0,0,0,1,0,0,0,0,0
7,913,0.1,0.1,5,5,1,75,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,45,0.2131869930308312,1,1/15,0,0,0,1,0,0,0,0,0
8,913,0.1,0.1,5,5,1,75,3/5*1/5,fraction,mul,FR,ED,0.12,22,0.1077138350810856,0,3/1,0,0,0,0,0,0,0,0,1
9,913,0.1,0.1,5,5,1,75,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,20,0.10182965407148,0,3/4,0,0,0,0,0,0,1,0,0
10,913,0.1,0.1,5,5,1,75,3/5*1/4,fraction,mul,FR,UD,0.15,64,0.3716541558969766,0,3/1,0,0,0,1,0,0,0,0,0
11,913,0.1,0.1,5,5,1,75,2/3*3/5,fraction,mul,FR,UD,0.4,69,0.358029895927757,0,6/1,0,0,0,1,0,0,0,0,0
12,913,0.1,0.1,5,5,1,75,3/5:1/5,fraction,div,FR,ED,3.0,11,0.04181338590569794,0,3/5,0,1,0,0,0,0,0,0,0
13,913,0.1,0.1,5,5,1,75,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.0362406789790839,0,1.333/5,0,1,0,0,0,0,0,0,0
14,913,0.1,0.1,5,5,1,75,3/5:1/4,fraction,div,FR,UD,2.4,33,0.1707312169019133,0,2.4/20,0,0,0,1,0,0,0,0,0
15,913,0.1,0.1,5,5,1,75,2/3:3/5,fraction,div,FR,UD,1.111111111111111,42,0.2040468170307577,0,1.111/15,0,0,0,1,0,0,0,0,0
