condition,temperature,mean_accuracy,any_correct_accuracy,parseable_coverage,MAG_H_pp,MAG_U_pp,add_accuracy,sub_accuracy,mul_accuracy,div_accuracy,n_rows,n_problems,n_prompt_rollout_groups,backend,metrics_path,rollouts_path
q3_0p6b_full_t03,0.3,69.4,91.75,100.0,19.25,14.050000000000002,80.475,85.125,82.57499999999999,29.425,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp0p3/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp0p3/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t05,0.5,66.59375,94.0,100.0,15.556250000000002,10.356250000000005,76.25,84.775,77.89999999999999,27.45,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp0p5/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp0p5/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t07,0.7,64.14375,95.0,100.0,12.818749999999998,7.618749999999999,73.075,84.725,72.57500000000002,26.200000000000003,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t09,0.9,61.19375,95.75,100.0,10.527083333333335,5.05625,70.925,82.85,66.325,24.675,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp0p9/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp0p9/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t10,1.0,59.85625,96.25,100.0,9.764583333333336,4.406249999999998,69.325,81.94999999999999,63.7,24.450000000000003,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p0/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p0/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t11,1.1,58.26875,96.75,99.99375,9.039583333333338,4.168750000000003,67.7,80.25,61.375,23.75,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p1/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p1/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t13,1.3,55.28125000000001,97.25,99.96875,7.189583333333333,4.94375,64.925,76.8,56.55,22.85,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p3/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p3/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t15,1.5,52.8625,98.25,99.925,6.562500000000002,6.124999999999998,62.425,73.69999999999999,53.05000000000001,22.275,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p5/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p5/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t17,1.7,50.45625,99.0,99.9,7.11875,7.431249999999999,59.650000000000006,70.7,49.74999999999999,21.725,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p7/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p7/sp2013_panel25_rollouts.csv.gz
q3_0p6b_full_t19,1.9,47.71875,99.5,99.8625,7.54375,9.068749999999998,56.82499999999999,67.175,46.125,20.75,16000,16,400,vllm,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p9/sp2013_panel25_metrics.json,/n/fs/cogai/cs1095/UMA_PR02/results/transformer_replication/qwen3_0p6b_panel25_default_base_e1_20260428_103905/sp2013_panel25_seed1_roll40_true_final_temp1p9/sp2013_panel25_rollouts.csv.gz
