condition,model,method,temperature,cell,qwen_mean_accuracy,qwen_any_correct_accuracy,parseable_coverage,n_rows
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,add ED,89.3,100.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,add UD,66.85,100.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,div ED,34.300000000000004,98.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,div UD,19.85,62.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,mul ED,73.25,100.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,mul UD,79.10000000000001,86.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,sub ED,100.0,100.0,100.0,2000
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,sub UD,70.75,100.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,add ED,82.1,100.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,add UD,66.14999999999999,100.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,div ED,30.4,98.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,div UD,20.1,70.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,mul ED,64.95,100.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,mul UD,75.9,90.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,sub ED,98.75,100.0,100.0,2000
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,sub UD,71.2,100.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,add ED,76.1,100.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,add UD,65.75,100.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,div ED,29.15,100.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,div UD,18.5,76.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,mul ED,59.85,100.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,mul UD,69.55,94.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,sub ED,96.55,100.0,100.0,2000
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,sub UD,70.35,100.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,add ED,73.25,100.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,add UD,65.5,100.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,div ED,28.4,100.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,div UD,19.2,74.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,mul ED,57.9,100.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,mul UD,66.9,96.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,sub ED,94.45,100.0,100.0,2000
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,sub UD,70.85000000000001,100.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,add ED,70.7,100.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,add UD,65.10000000000001,100.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,div ED,27.55,100.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,div UD,18.2,80.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,mul ED,55.25,100.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,mul UD,64.05,96.0,100.0,2000
