condition,model,method,temperature,operation,mean_accuracy,any_correct_accuracy
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,Add,78.075,100.0
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,Add,74.125,100.0
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,Add,70.92500000000001,100.0
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,Add,69.375,100.0
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,Add,67.9,100.0
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,Add,65.60000000000001,100.0
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,Add,63.0,100.0
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,Add,60.54999999999999,100.0
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,Add,58.07500000000001,100.0
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,Div,27.075000000000003,80.0
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,Div,25.249999999999996,84.0
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,Div,23.825,88.0
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,Div,23.8,87.0
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,Div,22.875,90.0
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,Div,22.275,92.0
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,Div,21.9,94.0
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,Div,21.55,95.0
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,Div,21.125,96.0
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,Mul,76.175,93.0
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,Mul,70.425,95.0
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,Mul,64.7,97.0
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,Mul,62.40000000000001,98.0
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,Mul,59.650000000000006,98.0
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,Mul,54.85,98.0
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,Mul,50.95,98.0
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,Mul,47.75,100.0
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,Mul,45.425,100.0
q3_1p7b_lora_e2_t05,Qwen3-1.7B E2,LoRA continued merged,0.5,Sub,85.375,100.0
q3_1p7b_lora_e2_t07,Qwen3-1.7B E2,LoRA continued merged,0.7,Sub,84.975,100.0
q3_1p7b_lora_e2_t09,Qwen3-1.7B E2,LoRA continued merged,0.9,Sub,83.45,100.0
q3_1p7b_lora_e2_t10,Qwen3-1.7B E2,LoRA continued merged,1.0,Sub,82.65,100.0
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,Sub,81.39999999999999,100.0
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,Sub,77.60000000000001,100.0
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,Sub,74.72500000000001,100.0
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,Sub,71.275,100.0
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,Sub,69.04999999999998,100.0
