condition,n_rollouts,acc_overall_model,acc_overall_human,MAE_pp,MAE_pp_add,MAE_pp_div,MAE_pp_mul,MAE_pp_sub
q3_4b_base,256,0.5181,0.5156,14.55,11.77,7.63,24.6,14.21
q3_4b_distill,256,0.6953,0.5156,20.97,17.18,9.52,37.88,19.29
q3_4b_full,256,0.4409,0.5156,26.37,26.18,10.05,36.61,32.66
q3_4b_full_ep1_t10,256,0.4624,0.5156,7.55,4.51,6.73,8.03,10.92
q3_8b_base,256,0.5168,0.5156,12.63,17.14,10.76,14.44,8.19
q3_8b_distill,256,0.7234,0.5156,24.03,32.32,7.14,27.72,28.96
q3_8b_full,256,0.4709,0.5156,23.69,26.57,10.36,33.97,23.87
q3_8b_full_ep1,256,0.6335,0.5156,14.08,25.19,7.53,11.52,12.06
q3_8b_full_ep1_t10,256,0.4836,0.5156,8.37,8.52,7.42,6.04,11.51
q3_8b_full_ep5,256,0.4565,0.5156,23.05,21.98,7.8,32.41,30.03
q3_8b_full_t10,256,0.4541,0.5156,14.8,17.58,7.41,16.88,17.33
q3_8b_full_t13,256,0.3269,0.5156,19.03,22.17,12.53,10.82,30.61
