prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,131,0.51171875,39.59,0.7916666666666666,27.994791666666664
4/5+3/5,add,7/5,256,120,0.46875,33.25,0.75,28.125
3/5+1/4,add,17/20,256,88,0.34375,53.46,0.5166666666666667,17.29166666666667
2/3+3/5,add,19/15,256,50,0.1953125,51.16,0.5083333333333333,31.30208333333333
3/5-1/5,sub,2/5,256,137,0.53515625,35.71,0.8333333333333334,29.817708333333336
4/5-3/5,sub,1/5,256,142,0.5546875,32.58,0.8416666666666667,28.697916666666668
3/5-1/4,sub,7/20,256,58,0.2265625,42.9,0.55,32.34375000000001
2/3-3/5,sub,1/15,256,56,0.21875,43.42,0.6166666666666667,39.79166666666667
3/5*1/5,mul,3/25,256,184,0.71875,31.28,0.31666666666666665,40.208333333333336
4/5*3/5,mul,12/25,256,221,0.86328125,40.98,0.4166666666666667,44.66145833333333
3/5*1/4,mul,3/20,256,227,0.88671875,29.93,0.5583333333333333,32.838541666666664
2/3*3/5,mul,2/5,256,225,0.87890625,38.32,0.5916666666666667,28.723958333333332
3/5:1/5,div,3,256,104,0.40625,39.69,0.35833333333333334,4.791666666666666
4/5:3/5,div,4/3,256,14,0.0546875,36.78,0.2,14.531250000000002
3/5:1/4,div,12/5,256,26,0.1015625,50.69,0.25,14.84375
2/3:3/5,div,10/9,256,23,0.08984375,41.23,0.15,6.015624999999999
