prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,181,0.70703125,108.91,0.7916666666666666,8.463541666666663
4/5+3/5,add,7/5,256,196,0.765625,116.92,0.75,1.5625
3/5+1/4,add,17/20,256,161,0.62890625,114.99,0.5166666666666667,11.223958333333329
2/3+3/5,add,19/15,256,163,0.63671875,116.41,0.5083333333333333,12.83854166666667
3/5-1/5,sub,2/5,256,195,0.76171875,104.83,0.8333333333333334,7.1614583333333375
4/5-3/5,sub,1/5,256,187,0.73046875,102.64,0.8416666666666667,11.119791666666668
3/5-1/4,sub,7/20,256,169,0.66015625,121.16,0.55,11.015624999999996
2/3-3/5,sub,1/15,256,115,0.44921875,118.37,0.6166666666666667,16.74479166666667
3/5*1/5,mul,3/25,256,66,0.2578125,123.07,0.31666666666666665,5.885416666666665
4/5*3/5,mul,12/25,256,113,0.44140625,109.46,0.4166666666666667,2.4739583333333313
3/5*1/4,mul,3/20,256,128,0.5,118.1,0.5583333333333333,5.833333333333335
2/3*3/5,mul,2/5,256,126,0.4921875,115.53,0.5916666666666667,9.947916666666668
3/5:1/5,div,3,256,74,0.2890625,110.56,0.35833333333333334,6.927083333333334
4/5:3/5,div,4/3,256,57,0.22265625,101.6,0.2,2.265624999999999
3/5:1/4,div,12/5,256,26,0.1015625,109.68,0.25,14.84375
2/3:3/5,div,10/9,256,24,0.09375,106.46,0.15,5.624999999999999
