T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,256,1.0,15.56,0.7916666666666666,20.833333333333336
1.0,4/5+3/5,add,7/5,256,256,1.0,12.12,0.75,25.0
1.0,3/5+1/4,add,17/20,256,212,0.828125,35.82,0.5166666666666667,31.14583333333333
1.0,2/3+3/5,add,19/15,256,214,0.8359375,36.97,0.5083333333333333,32.76041666666667
1.0,3/5-1/5,sub,2/5,256,256,1.0,17.83,0.8333333333333334,16.666666666666664
1.0,4/5-3/5,sub,1/5,256,256,1.0,17.82,0.8416666666666667,15.833333333333332
1.0,3/5-1/4,sub,7/20,256,214,0.8359375,42.08,0.55,28.593749999999996
1.0,2/3-3/5,sub,1/15,256,220,0.859375,42.09,0.6166666666666667,24.27083333333333
1.0,3/5*1/5,mul,3/25,256,52,0.203125,22.52,0.31666666666666665,11.354166666666664
1.0,4/5*3/5,mul,12/25,256,51,0.19921875,33.09,0.4166666666666667,21.744791666666668
1.0,3/5*1/4,mul,3/20,256,216,0.84375,38.78,0.5583333333333333,28.541666666666664
1.0,2/3*3/5,mul,2/5,256,239,0.93359375,36.93,0.5916666666666667,34.192708333333336
1.0,3/5:1/5,div,3,256,36,0.140625,28.21,0.35833333333333334,21.770833333333332
1.0,4/5:3/5,div,4/3,256,14,0.0546875,34.22,0.2,14.531250000000002
1.0,3/5:1/4,div,12/5,256,78,0.3046875,51.74,0.25,5.46875
1.0,2/3:3/5,div,10/9,256,0,0.0,49.7,0.15,15.0
