T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,184,0.71875,58.39,0.7916666666666666,7.2916666666666625
1.0,4/5+3/5,add,7/5,256,156,0.609375,32.59,0.75,14.0625
1.0,3/5+1/4,add,17/20,256,139,0.54296875,54.49,0.5166666666666667,2.630208333333328
1.0,2/3+3/5,add,19/15,256,131,0.51171875,55.44,0.5083333333333333,0.3385416666666696
1.0,3/5-1/5,sub,2/5,256,239,0.93359375,43.07,0.8333333333333334,10.026041666666663
1.0,4/5-3/5,sub,1/5,256,237,0.92578125,35.0,0.8416666666666667,8.411458333333332
1.0,3/5-1/4,sub,7/20,256,150,0.5859375,57.82,0.55,3.5937499999999956
1.0,2/3-3/5,sub,1/15,256,149,0.58203125,48.65,0.6166666666666667,3.4635416666666696
1.0,3/5*1/5,mul,3/25,256,146,0.5703125,53.83,0.31666666666666665,25.364583333333336
1.0,4/5*3/5,mul,12/25,256,140,0.546875,58.3,0.4166666666666667,13.020833333333332
1.0,3/5*1/4,mul,3/20,256,172,0.671875,49.39,0.5583333333333333,11.354166666666664
1.0,2/3*3/5,mul,2/5,256,192,0.75,55.62,0.5916666666666667,15.833333333333332
1.0,3/5:1/5,div,3,256,94,0.3671875,57.89,0.35833333333333334,0.8854166666666663
1.0,4/5:3/5,div,4/3,256,47,0.18359375,55.94,0.2,1.640625000000001
1.0,3/5:1/4,div,12/5,256,69,0.26953125,56.11,0.25,1.953125
1.0,2/3:3/5,div,10/9,256,49,0.19140625,54.57,0.15,4.140625000000001
