T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,217,0.84765625,40.33,0.7916666666666666,5.5989583333333375
1.0,4/5+3/5,add,7/5,256,204,0.796875,28.99,0.75,4.6875
1.0,3/5+1/4,add,17/20,256,197,0.76953125,42.64,0.5166666666666667,25.28645833333333
1.0,2/3+3/5,add,19/15,256,206,0.8046875,43.31,0.5083333333333333,29.63541666666667
1.0,3/5-1/5,sub,2/5,256,256,1.0,19.19,0.8333333333333334,16.666666666666664
1.0,4/5-3/5,sub,1/5,256,256,1.0,19.19,0.8416666666666667,15.833333333333332
1.0,3/5-1/4,sub,7/20,256,205,0.80078125,48.38,0.55,25.078124999999996
1.0,2/3-3/5,sub,1/15,256,251,0.98046875,46.11,0.6166666666666667,36.38020833333333
1.0,3/5*1/5,mul,3/25,256,103,0.40234375,38.91,0.31666666666666665,8.567708333333336
1.0,4/5*3/5,mul,12/25,256,116,0.453125,46.48,0.4166666666666667,3.6458333333333313
1.0,3/5*1/4,mul,3/20,256,79,0.30859375,43.54,0.5583333333333333,24.973958333333336
1.0,2/3*3/5,mul,2/5,256,85,0.33203125,43.73,0.5916666666666667,25.963541666666668
1.0,3/5:1/5,div,3,256,82,0.3203125,42.77,0.35833333333333334,3.802083333333334
1.0,4/5:3/5,div,4/3,256,45,0.17578125,51.62,0.2,2.421875000000001
1.0,3/5:1/4,div,12/5,256,133,0.51953125,52.34,0.25,26.953125
1.0,2/3:3/5,div,10/9,256,0,0.0,47.69,0.15,15.0
