T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.5,3/5+1/5,add,4/5,256,235,0.91796875,32.18,0.7916666666666666,12.630208333333337
1.5,4/5+3/5,add,7/5,256,231,0.90234375,27.48,0.75,15.234375
1.5,3/5+1/4,add,17/20,256,192,0.75,44.23,0.5166666666666667,23.33333333333333
1.5,2/3+3/5,add,19/15,256,193,0.75390625,44.94,0.5083333333333333,24.55729166666667
1.5,3/5-1/5,sub,2/5,256,256,1.0,19.55,0.8333333333333334,16.666666666666664
1.5,4/5-3/5,sub,1/5,256,256,1.0,19.54,0.8416666666666667,15.833333333333332
1.5,3/5-1/4,sub,7/20,256,198,0.7734375,50.49,0.55,22.343749999999996
1.5,2/3-3/5,sub,1/15,256,197,0.76953125,45.41,0.6166666666666667,15.28645833333333
1.5,3/5*1/5,mul,3/25,256,63,0.24609375,41.73,0.31666666666666665,7.057291666666665
1.5,4/5*3/5,mul,12/25,256,65,0.25390625,42.19,0.4166666666666667,16.276041666666668
1.5,3/5*1/4,mul,3/20,256,183,0.71484375,45.98,0.5583333333333333,15.651041666666664
1.5,2/3*3/5,mul,2/5,256,218,0.8515625,44.33,0.5916666666666667,25.989583333333332
1.5,3/5:1/5,div,3,256,55,0.21484375,41.97,0.35833333333333334,14.348958333333334
1.5,4/5:3/5,div,4/3,256,21,0.08203125,50.68,0.2,11.796875000000002
1.5,3/5:1/4,div,12/5,256,75,0.29296875,51.69,0.25,4.296875
1.5,2/3:3/5,div,10/9,256,0,0.0,48.15,0.15,15.0
