T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.3,3/5+1/5,add,4/5,256,149,0.58203125,61.04,0.7916666666666666,20.963541666666664
1.3,4/5+3/5,add,7/5,256,131,0.51171875,33.27,0.75,23.828125
1.3,3/5+1/4,add,17/20,256,133,0.51953125,54.87,0.5166666666666667,0.28645833333332815
1.3,2/3+3/5,add,19/15,256,133,0.51953125,57.25,0.5083333333333333,1.1197916666666696
1.3,3/5-1/5,sub,2/5,256,207,0.80859375,53.34,0.8333333333333334,2.473958333333337
1.3,4/5-3/5,sub,1/5,256,203,0.79296875,37.09,0.8416666666666667,4.869791666666668
1.3,3/5-1/4,sub,7/20,256,141,0.55078125,59.2,0.55,0.07812499999999556
1.3,2/3-3/5,sub,1/15,256,156,0.609375,49.96,0.6166666666666667,0.7291666666666696
1.3,3/5*1/5,mul,3/25,256,126,0.4921875,55.76,0.31666666666666665,17.552083333333336
1.3,4/5*3/5,mul,12/25,256,124,0.484375,59.01,0.4166666666666667,6.770833333333331
1.3,3/5*1/4,mul,3/20,256,147,0.57421875,50.28,0.5583333333333333,1.5885416666666652
1.3,2/3*3/5,mul,2/5,256,156,0.609375,57.09,0.5916666666666667,1.7708333333333326
1.3,3/5:1/5,div,3,256,93,0.36328125,57.97,0.35833333333333334,0.4947916666666663
1.3,4/5:3/5,div,4/3,256,41,0.16015625,56.8,0.2,3.984375000000001
1.3,3/5:1/4,div,12/5,256,70,0.2734375,54.68,0.25,2.34375
1.3,2/3:3/5,div,10/9,256,48,0.1875,54.3,0.15,3.7500000000000004
