T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.7,3/5+1/5,add,4/5,256,161,0.62890625,56.15,0.7916666666666666,16.276041666666664
1.7,4/5+3/5,add,7/5,256,140,0.546875,33.86,0.75,20.3125
1.7,3/5+1/4,add,17/20,256,180,0.703125,49.56,0.5166666666666667,18.64583333333333
1.7,2/3+3/5,add,19/15,256,186,0.7265625,54.87,0.5083333333333333,21.82291666666667
1.7,3/5-1/5,sub,2/5,256,204,0.796875,51.16,0.8333333333333334,3.645833333333337
1.7,4/5-3/5,sub,1/5,256,193,0.75390625,36.37,0.8416666666666667,8.776041666666668
1.7,3/5-1/4,sub,7/20,256,187,0.73046875,57.31,0.55,18.046874999999996
1.7,2/3-3/5,sub,1/15,256,239,0.93359375,50.31,0.6166666666666667,31.69270833333333
1.7,3/5*1/5,mul,3/25,256,83,0.32421875,59.58,0.31666666666666665,0.7552083333333348
1.7,4/5*3/5,mul,12/25,256,96,0.375,53.05,0.4166666666666667,4.166666666666669
1.7,3/5*1/4,mul,3/20,256,75,0.29296875,50.48,0.5583333333333333,26.536458333333336
1.7,2/3*3/5,mul,2/5,256,88,0.34375,53.58,0.5916666666666667,24.791666666666668
1.7,3/5:1/5,div,3,256,81,0.31640625,57.3,0.35833333333333334,4.192708333333334
1.7,4/5:3/5,div,4/3,256,37,0.14453125,54.65,0.2,5.546875000000001
1.7,3/5:1/4,div,12/5,256,109,0.42578125,60.01,0.25,17.578125
1.7,2/3:3/5,div,10/9,256,10,0.0390625,53.36,0.15,11.09375
