T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.5,3/5+1/5,add,4/5,256,174,0.6796875,53.08,0.7916666666666666,11.197916666666663
1.5,4/5+3/5,add,7/5,256,154,0.6015625,33.55,0.75,14.84375
1.5,3/5+1/4,add,17/20,256,185,0.72265625,49.69,0.5166666666666667,20.59895833333333
1.5,2/3+3/5,add,19/15,256,190,0.7421875,53.32,0.5083333333333333,23.38541666666667
1.5,3/5-1/5,sub,2/5,256,215,0.83984375,50.94,0.8333333333333334,0.651041666666663
1.5,4/5-3/5,sub,1/5,256,205,0.80078125,36.36,0.8416666666666667,4.088541666666668
1.5,3/5-1/4,sub,7/20,256,192,0.75,57.31,0.55,19.999999999999996
1.5,2/3-3/5,sub,1/15,256,240,0.9375,48.69,0.6166666666666667,32.08333333333333
1.5,3/5*1/5,mul,3/25,256,89,0.34765625,57.47,0.31666666666666665,3.098958333333335
1.5,4/5*3/5,mul,12/25,256,100,0.390625,50.31,0.4166666666666667,2.6041666666666687
1.5,3/5*1/4,mul,3/20,256,81,0.31640625,49.96,0.5583333333333333,24.192708333333336
1.5,2/3*3/5,mul,2/5,256,87,0.33984375,57.83,0.5916666666666667,25.182291666666668
1.5,3/5:1/5,div,3,256,81,0.31640625,54.6,0.35833333333333334,4.192708333333334
1.5,4/5:3/5,div,4/3,256,40,0.15625,57.9,0.2,4.375000000000001
1.5,3/5:1/4,div,12/5,256,116,0.453125,57.99,0.25,20.3125
1.5,2/3:3/5,div,10/9,256,7,0.02734375,52.07,0.15,12.265625
