profile,T,model_mean_acc
low,0.3,0.742431640625
low,0.5,0.6826171875
low,0.7,0.63720703125
low,1.0,0.56005859375
low,1.3,0.50244140625
low,1.5,0.472900390625
low,1.7,0.45654296875
low,2.0,0.435302734375
mid,0.3,0.668701171875
mid,0.5,0.65380859375
mid,0.7,0.626220703125
mid,1.0,0.594482421875
mid,1.3,0.549072265625
mid,1.5,0.5263671875
mid,1.7,0.505126953125
mid,2.0,0.481689453125
high,0.3,0.65087890625
high,0.5,0.662841796875
high,0.7,0.646240234375
high,1.0,0.62744140625
high,1.3,0.603515625
high,1.5,0.59521484375
high,1.7,0.56982421875
high,2.0,0.530029296875
