subjid,acc,g,d,rt_mu,ice,profile
47,0.0,0.01,0.5,4,50,low
55,0.0625,0.01,0.5,6,0,low
15,0.0625,0.01,0.1,6,0,low
240,0.0625,0.03,0.5,3,0,low
175,0.0625,0.02,0.7,6,0,low
12,0.0625,0.01,0.1,5,50,low
2,0.0625,0.01,0.1,3,50,low
100,0.0625,0.02,0.1,3,0,low
20,0.0625,0.01,0.3,3,0,low
165,0.125,0.02,0.7,4,0,low
58,0.125,0.01,0.5,6,75,low
195,0.125,0.02,0.9,6,0,low
76,0.125,0.01,0.7,6,25,low
370,0.125,0.04,0.7,5,0,low
280,0.125,0.03,0.9,3,0,low
1,0.125,0.01,0.1,3,25,low
82,0.125,0.01,0.9,3,50,low
6,0.125,0.01,0.1,4,25,low
40,0.125,0.01,0.5,3,0,low
166,0.125,0.02,0.7,4,25,low
45,0.125,0.01,0.5,4,0,low
34,0.125,0.01,0.3,5,100,low
43,0.125,0.01,0.5,3,75,low
75,0.125,0.01,0.7,6,0,low
26,0.125,0.01,0.3,4,25,low
155,0.1875,0.02,0.5,6,0,low
63,0.1875,0.01,0.7,3,75,low
231,0.1875,0.03,0.3,5,25,low
290,0.1875,0.03,0.9,5,0,low
110,0.1875,0.02,0.1,5,0,low
260,0.1875,0.03,0.7,3,0,low
312,0.1875,0.04,0.1,5,50,low
160,0.1875,0.02,0.7,3,0,low
99,0.1875,0.01,0.9,6,100,low
7,0.1875,0.01,0.1,4,50,low
10,0.1875,0.01,0.1,5,0,low
11,0.1875,0.01,0.1,5,25,low
190,0.1875,0.02,0.9,5,0,low
182,0.1875,0.02,0.9,3,50,low
36,0.1875,0.01,0.3,6,25,low
196,0.1875,0.02,0.9,6,25,low
48,0.1875,0.01,0.5,4,75,low
95,0.1875,0.01,0.9,6,0,low
5,0.1875,0.01,0.1,4,0,low
83,0.1875,0.01,0.9,3,75,low
85,0.1875,0.01,0.9,4,0,low
70,0.1875,0.01,0.7,5,0,low
74,0.1875,0.01,0.7,5,100,low
25,0.1875,0.01,0.3,4,0,low
161,0.25,0.02,0.7,3,25,low
104,0.25,0.02,0.1,3,100,low
300,0.25,0.04,0.1,3,0,low
390,0.25,0.04,0.9,5,0,low
50,0.25,0.01,0.5,5,0,low
540,0.25,0.06,0.5,3,0,low
306,0.25,0.04,0.1,4,25,low
117,0.25,0.02,0.1,6,50,low
632,0.25,0.07,0.3,5,50,low
54,0.25,0.01,0.5,5,100,low
0,0.25,0.01,0.1,3,0,low
65,0.25,0.01,0.7,4,0,low
385,0.25,0.04,0.9,4,0,low
208,0.25,0.03,0.1,4,75,low
807,0.25,0.09,0.1,4,50,low
96,0.25,0.01,0.9,6,25,low
80,0.25,0.01,0.9,3,0,low
189,0.25,0.02,0.9,4,100,low
88,0.25,0.01,0.9,4,75,low
86,0.25,0.01,0.9,4,25,low
87,0.25,0.01,0.9,4,50,low
42,0.25,0.01,0.5,3,50,low
49,0.25,0.01,0.5,4,100,low
170,0.25,0.02,0.7,5,0,low
185,0.25,0.02,0.9,4,0,low
37,0.25,0.01,0.3,6,50,low
206,0.25,0.03,0.1,4,25,low
22,0.25,0.01,0.3,3,50,low
91,0.25,0.01,0.9,5,25,low
199,0.25,0.02,0.9,6,100,low
930,0.25,0.1,0.3,5,0,low
18,0.25,0.01,0.1,6,75,low
27,0.25,0.01,0.3,4,50,low
29,0.25,0.01,0.3,4,100,low
24,0.25,0.01,0.3,3,100,low
30,0.25,0.01,0.3,5,0,low
32,0.25,0.01,0.3,5,50,low
708,0.3125,0.08,0.1,4,75,low
606,0.3125,0.07,0.1,4,25,low
298,0.3125,0.03,0.9,6,75,low
344,0.3125,0.04,0.5,3,100,low
301,0.3125,0.04,0.1,3,25,low
118,0.3125,0.02,0.1,6,75,low
427,0.3125,0.05,0.3,4,50,low
421,0.3125,0.05,0.3,3,25,low
464,0.3125,0.05,0.7,3,100,low
147,0.3125,0.02,0.5,4,50,low
338,0.3125,0.04,0.3,6,75,low
319,0.3125,0.04,0.1,6,100,low
342,0.3125,0.04,0.5,3,50,low
431,0.3125,0.05,0.3,5,25,low
270,0.3125,0.03,0.7,5,0,low
227,0.3125,0.03,0.3,4,50,low
252,0.3125,0.03,0.5,5,50,low
376,0.3125,0.04,0.7,6,25,low
153,0.3125,0.02,0.5,5,75,low
150,0.3125,0.02,0.5,5,0,low
284,0.3125,0.03,0.9,3,100,low
125,0.3125,0.02,0.3,4,0,low
141,0.3125,0.02,0.5,3,25,low
520,0.3125,0.06,0.3,3,0,low
145,0.3125,0.02,0.5,4,0,low
197,0.3125,0.02,0.9,6,50,low
35,0.3125,0.01,0.3,6,0,low
191,0.3125,0.02,0.9,5,25,low
728,0.3125,0.08,0.3,4,75,low
731,0.3125,0.08,0.3,5,25,low
169,0.3125,0.02,0.7,4,100,low
200,0.3125,0.03,0.1,3,0,low
635,0.3125,0.07,0.3,6,0,low
580,0.3125,0.06,0.9,3,0,low
106,0.3125,0.02,0.1,4,25,low
105,0.3125,0.02,0.1,4,0,low
52,0.3125,0.01,0.5,5,50,low
56,0.3125,0.01,0.5,6,25,low
64,0.3125,0.01,0.7,3,100,low
66,0.3125,0.01,0.7,4,25,low
69,0.3125,0.01,0.7,4,100,low
79,0.3125,0.01,0.7,6,100,low
14,0.3125,0.01,0.1,5,100,low
8,0.3125,0.01,0.1,4,75,low
101,0.3125,0.02,0.1,3,25,low
81,0.3125,0.01,0.9,3,25,low
90,0.3125,0.01,0.9,5,0,low
94,0.3125,0.01,0.9,5,100,low
485,0.3125,0.05,0.9,4,0,low
495,0.3125,0.05,0.9,6,0,low
159,0.3125,0.02,0.5,6,100,low
506,0.3125,0.06,0.1,4,25,low
16,0.3125,0.01,0.1,6,25,low
21,0.3125,0.01,0.3,3,25,low
23,0.3125,0.01,0.3,3,75,low
4,0.375,0.01,0.1,3,100,low
102,0.375,0.02,0.1,3,50,low
38,0.375,0.01,0.3,6,75,low
186,0.375,0.02,0.9,4,25,low
3,0.375,0.01,0.1,3,75,low
44,0.375,0.01,0.5,3,100,low
89,0.375,0.01,0.9,4,100,low
84,0.375,0.01,0.9,3,100,low
181,0.375,0.02,0.9,3,25,low
162,0.375,0.02,0.7,3,50,low
205,0.375,0.03,0.1,4,0,low
723,0.375,0.08,0.3,3,75,low
220,0.375,0.03,0.3,3,0,low
504,0.375,0.06,0.1,3,100,low
217,0.375,0.03,0.1,6,50,low
210,0.375,0.03,0.1,5,0,low
511,0.375,0.06,0.1,5,25,low
202,0.375,0.03,0.1,3,50,low
237,0.375,0.03,0.3,6,50,low
405,0.375,0.05,0.1,4,0,low
915,0.375,0.1,0.1,6,0,low
232,0.375,0.03,0.3,5,50,low
480,0.375,0.05,0.9,3,0,low
192,0.375,0.02,0.9,5,50,low
919,0.375,0.1,0.1,6,100,low
927,0.375,0.1,0.3,4,50,low
824,0.375,0.09,0.3,3,100,low
816,0.375,0.09,0.1,6,25,low
226,0.375,0.03,0.3,4,25,low
448,0.375,0.05,0.5,4,75,low
445,0.375,0.05,0.5,4,0,low
442,0.375,0.05,0.5,3,50,low
243,0.375,0.03,0.5,3,75,low
248,0.375,0.03,0.5,4,75,low
255,0.375,0.03,0.5,6,0,low
810,0.375,0.09,0.1,5,0,low
547,0.375,0.06,0.5,4,50,low
152,0.375,0.02,0.5,5,50,low
136,0.375,0.02,0.3,6,25,low
254,0.375,0.03,0.5,5,100,low
121,0.375,0.02,0.3,3,25,low
127,0.375,0.02,0.3,4,50,low
371,0.375,0.04,0.7,5,25,low
131,0.375,0.02,0.3,5,25,low
140,0.375,0.02,0.5,3,0,low
734,0.375,0.08,0.3,5,100,low
139,0.375,0.02,0.3,6,100,low
307,0.375,0.04,0.1,4,50,low
272,0.375,0.03,0.7,5,50,low
432,0.375,0.05,0.3,5,50,low
265,0.375,0.03,0.7,4,0,low
375,0.375,0.04,0.7,6,0,low
377,0.375,0.04,0.7,6,50,low
381,0.375,0.04,0.9,3,25,low
51,0.375,0.01,0.5,5,25,low
62,0.375,0.01,0.7,3,50,low
333,0.375,0.04,0.3,5,75,low
318,0.375,0.04,0.1,6,75,low
77,0.375,0.01,0.7,6,50,low
282,0.375,0.03,0.9,3,50,low
303,0.375,0.04,0.1,3,75,low
355,0.375,0.04,0.5,6,0,low
315,0.375,0.04,0.1,6,0,low
313,0.375,0.04,0.1,5,75,low
607,0.375,0.07,0.1,4,50,low
78,0.375,0.01,0.7,6,75,low
903,0.375,0.1,0.1,3,75,low
73,0.375,0.01,0.7,5,75,low
60,0.375,0.01,0.7,3,0,low
57,0.375,0.01,0.5,6,50,low
103,0.375,0.02,0.1,3,75,low
604,0.375,0.07,0.1,3,100,low
605,0.375,0.07,0.1,4,0,low
612,0.375,0.07,0.1,5,50,low
707,0.375,0.08,0.1,4,50,low
114,0.375,0.02,0.1,5,100,low
194,0.4375,0.02,0.9,5,100,low
233,0.4375,0.03,0.3,5,75,low
402,0.4375,0.05,0.1,3,50,low
236,0.4375,0.03,0.3,6,25,low
420,0.4375,0.05,0.3,3,0,low
418,0.4375,0.05,0.1,6,75,low
417,0.4375,0.05,0.1,6,50,low
414,0.4375,0.05,0.1,5,100,low
410,0.4375,0.05,0.1,5,0,low
408,0.4375,0.05,0.1,4,75,low
749,0.4375,0.08,0.5,4,100,low
519,0.4375,0.06,0.1,6,100,low
727,0.4375,0.08,0.3,4,50,low
721,0.4375,0.08,0.3,3,25,low
717,0.4375,0.08,0.1,6,50,low
172,0.4375,0.02,0.7,5,50,low
821,0.4375,0.09,0.3,3,25,low
396,0.4375,0.04,0.9,6,25,low
225,0.4375,0.03,0.3,4,0,low
453,0.4375,0.05,0.5,5,75,low
380,0.4375,0.04,0.9,3,0,low
379,0.4375,0.04,0.7,6,100,low
815,0.4375,0.09,0.1,6,0,low
814,0.4375,0.09,0.1,5,100,low
277,0.4375,0.03,0.7,6,50,low
387,0.4375,0.04,0.9,4,50,low
