profile,prob,acc,op
low,2/3*3/5,0.4759036144578313,*
low,2/3+3/5,0.19879518072289157,+
low,2/3-3/5,0.28012048192771083,-
low,2/3:3/5,0.07530120481927711,:
low,3/5*1/4,0.4789156626506024,*
low,3/5*1/5,0.3795180722891566,*
low,3/5+1/4,0.28012048192771083,+
low,3/5+1/5,0.4427710843373494,+
low,3/5-1/4,0.2740963855421687,-
low,3/5-1/5,0.5481927710843374,-
low,3/5:1/4,0.2469879518072289,:
low,3/5:1/5,0.34036144578313254,:
low,4/5*3/5,0.31626506024096385,*
low,4/5+3/5,0.4939759036144578,+
low,4/5-3/5,0.5060240963855421,-
low,4/5:3/5,0.10240963855421686,:
mid,2/3*3/5,0.6566265060240963,*
mid,2/3+3/5,0.536144578313253,+
mid,2/3-3/5,0.608433734939759,-
mid,2/3:3/5,0.12650602409638553,:
mid,3/5*1/4,0.6596385542168675,*
mid,3/5*1/5,0.5813253012048193,*
mid,3/5+1/4,0.5843373493975904,+
mid,3/5+1/5,0.6897590361445783,+
mid,3/5-1/4,0.6204819277108434,-
mid,3/5-1/5,0.7018072289156626,-
mid,3/5:1/4,0.25,:
mid,3/5:1/5,0.48493975903614456,:
mid,4/5*3/5,0.5662650602409639,*
mid,4/5+3/5,0.7168674698795181,+
mid,4/5-3/5,0.7439759036144579,-
mid,4/5:3/5,0.1355421686746988,:
high,2/3*3/5,0.8524096385542169,*
high,2/3+3/5,0.8042168674698795,+
high,2/3-3/5,0.8403614457831325,-
high,2/3:3/5,0.19879518072289157,:
high,3/5*1/4,0.8524096385542169,*
high,3/5*1/5,0.7981927710843374,*
high,3/5+1/4,0.7560240963855421,+
high,3/5+1/5,0.8644578313253012,+
high,3/5-1/4,0.8554216867469879,-
high,3/5-1/5,0.9066265060240963,-
high,3/5:1/4,0.3433734939759036,:
high,3/5:1/5,0.48493975903614456,:
high,4/5*3/5,0.786144578313253,*
high,4/5+3/5,0.8975903614457831,+
high,4/5-3/5,0.9096385542168675,-
high,4/5:3/5,0.21686746987951808,:
