prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,209,0.81640625,73.97,0.7916666666666666,2.473958333333337
4/5+3/5,add,7/5,256,223,0.87109375,37.21,0.75,12.109375
3/5+1/4,add,17/20,256,148,0.578125,86.6,0.5166666666666667,6.145833333333329
2/3+3/5,add,19/15,256,146,0.5703125,85.19,0.5083333333333333,6.19791666666667
3/5-1/5,sub,2/5,256,256,1.0,30.94,0.8333333333333334,16.666666666666664
4/5-3/5,sub,1/5,256,256,1.0,30.87,0.8416666666666667,15.833333333333332
3/5-1/4,sub,7/20,256,155,0.60546875,87.4,0.55,5.546874999999996
2/3-3/5,sub,1/15,256,173,0.67578125,79.84,0.6166666666666667,5.91145833333333
3/5*1/5,mul,3/25,256,167,0.65234375,57.69,0.31666666666666665,33.567708333333336
4/5*3/5,mul,12/25,256,154,0.6015625,71.52,0.4166666666666667,18.489583333333332
3/5*1/4,mul,3/20,256,223,0.87109375,75.35,0.5583333333333333,31.276041666666664
2/3*3/5,mul,2/5,256,210,0.8203125,88.49,0.5916666666666667,22.864583333333332
3/5:1/5,div,3,256,98,0.3828125,78.55,0.35833333333333334,2.447916666666666
4/5:3/5,div,4/3,256,43,0.16796875,79.59,0.2,3.203125000000001
3/5:1/4,div,12/5,256,24,0.09375,81.79,0.25,15.625
2/3:3/5,div,10/9,256,23,0.08984375,79.74,0.15,6.015624999999999
