T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,141,0.55078125,19.98,0.7916666666666666,24.088541666666664
1.0,4/5+3/5,add,7/5,256,87,0.33984375,14.76,0.75,41.015625
1.0,3/5+1/4,add,17/20,256,8,0.03125,20.92,0.5166666666666667,48.54166666666667
1.0,2/3+3/5,add,19/15,256,3,0.01171875,21.75,0.5083333333333333,49.66145833333333
1.0,3/5-1/5,sub,2/5,256,170,0.6640625,15.34,0.8333333333333334,16.927083333333336
1.0,4/5-3/5,sub,1/5,256,171,0.66796875,16.44,0.8416666666666667,17.369791666666668
1.0,3/5-1/4,sub,7/20,256,22,0.0859375,18.97,0.55,46.40625000000001
1.0,2/3-3/5,sub,1/15,256,62,0.2421875,23.12,0.6166666666666667,37.44791666666667
1.0,3/5*1/5,mul,3/25,256,55,0.21484375,17.13,0.31666666666666665,10.182291666666664
1.0,4/5*3/5,mul,12/25,256,125,0.48828125,18.48,0.4166666666666667,7.161458333333331
1.0,3/5*1/4,mul,3/20,256,99,0.38671875,17.69,0.5583333333333333,17.161458333333336
1.0,2/3*3/5,mul,2/5,256,72,0.28125,20.86,0.5916666666666667,31.041666666666668
1.0,3/5:1/5,div,3,256,59,0.23046875,17.8,0.35833333333333334,12.786458333333334
1.0,4/5:3/5,div,4/3,256,28,0.109375,19.2,0.2,9.062500000000002
1.0,3/5:1/4,div,12/5,256,13,0.05078125,18.91,0.25,19.921875
1.0,2/3:3/5,div,10/9,256,13,0.05078125,22.8,0.15,9.921875
