T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,44,0.171875,15.3,0.7916666666666666,61.979166666666664
1.0,4/5+3/5,add,7/5,256,50,0.1953125,11.94,0.75,55.46875
1.0,3/5+1/4,add,17/20,256,16,0.0625,11.89,0.5166666666666667,45.41666666666667
1.0,2/3+3/5,add,19/15,256,32,0.125,11.91,0.5083333333333333,38.33333333333333
1.0,3/5-1/5,sub,2/5,256,39,0.15234375,11.97,0.8333333333333334,68.09895833333334
1.0,4/5-3/5,sub,1/5,256,38,0.1484375,11.98,0.8416666666666667,69.32291666666667
1.0,3/5-1/4,sub,7/20,256,26,0.1015625,11.98,0.55,44.84375000000001
1.0,2/3-3/5,sub,1/15,256,22,0.0859375,11.99,0.6166666666666667,53.07291666666667
1.0,3/5*1/5,mul,3/25,256,33,0.12890625,11.99,0.31666666666666665,18.776041666666664
1.0,4/5*3/5,mul,12/25,256,37,0.14453125,12.0,0.4166666666666667,27.213541666666668
1.0,3/5*1/4,mul,3/20,256,39,0.15234375,11.99,0.5583333333333333,40.598958333333336
1.0,2/3*3/5,mul,2/5,256,36,0.140625,11.99,0.5916666666666667,45.104166666666664
1.0,3/5:1/5,div,3,256,16,0.0625,12.01,0.35833333333333334,29.583333333333332
1.0,4/5:3/5,div,4/3,256,28,0.109375,11.99,0.2,9.062500000000002
1.0,3/5:1/4,div,12/5,256,52,0.203125,12.0,0.25,4.6875
1.0,2/3:3/5,div,10/9,256,29,0.11328125,11.99,0.15,3.6718749999999996
