prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,137,0.53515625,61.62,0.7916666666666666,25.651041666666664
4/5+3/5,add,7/5,256,84,0.328125,57.26,0.75,42.1875
3/5+1/4,add,17/20,256,85,0.33203125,57.31,0.5166666666666667,18.46354166666667
2/3+3/5,add,19/15,256,49,0.19140625,57.8,0.5083333333333333,31.69270833333333
3/5-1/5,sub,2/5,256,123,0.48046875,57.84,0.8333333333333334,35.286458333333336
4/5-3/5,sub,1/5,256,136,0.53125,57.5,0.8416666666666667,31.041666666666668
3/5-1/4,sub,7/20,256,85,0.33203125,57.71,0.55,21.796875000000004
2/3-3/5,sub,1/15,256,71,0.27734375,57.54,0.6166666666666667,33.93229166666667
3/5*1/5,mul,3/25,256,134,0.5234375,57.78,0.31666666666666665,20.677083333333336
4/5*3/5,mul,12/25,256,114,0.4453125,57.78,0.4166666666666667,2.8645833333333313
3/5*1/4,mul,3/20,256,128,0.5,57.34,0.5583333333333333,5.833333333333335
2/3*3/5,mul,2/5,256,125,0.48828125,57.35,0.5916666666666667,10.338541666666668
3/5:1/5,div,3,256,32,0.125,57.31,0.35833333333333334,23.333333333333332
4/5:3/5,div,4/3,256,45,0.17578125,57.34,0.2,2.421875000000001
3/5:1/4,div,12/5,256,42,0.1640625,57.24,0.25,8.59375
2/3:3/5,div,10/9,256,40,0.15625,57.3,0.15,0.6250000000000006
