prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,196,0.765625,108.56,0.7916666666666666,2.604166666666663
4/5+3/5,add,7/5,256,212,0.828125,50.53,0.75,7.8125
3/5+1/4,add,17/20,256,177,0.69140625,103.12,0.5166666666666667,17.47395833333333
2/3+3/5,add,19/15,256,175,0.68359375,103.97,0.5083333333333333,17.52604166666667
3/5-1/5,sub,2/5,256,256,1.0,38.79,0.8333333333333334,16.666666666666664
4/5-3/5,sub,1/5,256,256,1.0,38.77,0.8416666666666667,15.833333333333332
3/5-1/4,sub,7/20,256,179,0.69921875,108.79,0.55,14.921874999999996
2/3-3/5,sub,1/15,256,206,0.8046875,97.87,0.6166666666666667,18.80208333333333
3/5*1/5,mul,3/25,256,139,0.54296875,98.03,0.31666666666666665,22.630208333333336
4/5*3/5,mul,12/25,256,172,0.671875,81.64,0.4166666666666667,25.520833333333332
3/5*1/4,mul,3/20,256,213,0.83203125,91.31,0.5583333333333333,27.369791666666664
2/3*3/5,mul,2/5,256,218,0.8515625,104.0,0.5916666666666667,25.989583333333332
3/5:1/5,div,3,256,110,0.4296875,106.05,0.35833333333333334,7.135416666666666
4/5:3/5,div,4/3,256,60,0.234375,98.33,0.2,3.437499999999999
3/5:1/4,div,12/5,256,20,0.078125,106.21,0.25,17.1875
2/3:3/5,div,10/9,256,24,0.09375,106.86,0.15,5.624999999999999
