T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,193,0.75390625,27.43,0.7916666666666666,3.776041666666663
1.0,4/5+3/5,add,7/5,256,187,0.73046875,30.37,0.75,1.953125
1.0,3/5+1/4,add,17/20,256,154,0.6015625,29.97,0.5166666666666667,8.489583333333329
1.0,2/3+3/5,add,19/15,256,127,0.49609375,30.21,0.5083333333333333,1.2239583333333304
1.0,3/5-1/5,sub,2/5,256,187,0.73046875,30.09,0.8333333333333334,10.286458333333337
1.0,4/5-3/5,sub,1/5,256,179,0.69921875,30.27,0.8416666666666667,14.244791666666668
1.0,3/5-1/4,sub,7/20,256,141,0.55078125,30.02,0.55,0.07812499999999556
1.0,2/3-3/5,sub,1/15,256,95,0.37109375,30.41,0.6166666666666667,24.55729166666667
1.0,3/5*1/5,mul,3/25,256,61,0.23828125,29.16,0.31666666666666665,7.838541666666665
1.0,4/5*3/5,mul,12/25,256,99,0.38671875,28.81,0.4166666666666667,2.9947916666666687
1.0,3/5*1/4,mul,3/20,256,153,0.59765625,30.25,0.5583333333333333,3.932291666666665
1.0,2/3*3/5,mul,2/5,256,118,0.4609375,29.98,0.5916666666666667,13.072916666666668
1.0,3/5:1/5,div,3,256,104,0.40625,27.78,0.35833333333333334,4.791666666666666
1.0,4/5:3/5,div,4/3,256,41,0.16015625,27.9,0.2,3.984375000000001
1.0,3/5:1/4,div,12/5,256,85,0.33203125,30.4,0.25,8.203125
1.0,2/3:3/5,div,10/9,256,20,0.078125,27.88,0.15,7.187499999999999
