prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,178,0.6953125,50.67,0.7916666666666666,9.635416666666663
4/5+3/5,add,7/5,256,134,0.5234375,41.64,0.75,22.65625
3/5+1/4,add,17/20,256,87,0.33984375,57.67,0.5166666666666667,17.68229166666667
2/3+3/5,add,19/15,256,39,0.15234375,59.42,0.5083333333333333,35.59895833333333
3/5-1/5,sub,2/5,256,185,0.72265625,42.07,0.8333333333333334,11.067708333333337
4/5-3/5,sub,1/5,256,171,0.66796875,42.13,0.8416666666666667,17.369791666666668
3/5-1/4,sub,7/20,256,74,0.2890625,56.03,0.55,26.093750000000004
2/3-3/5,sub,1/15,256,63,0.24609375,58.42,0.6166666666666667,37.05729166666667
3/5*1/5,mul,3/25,256,135,0.52734375,42.19,0.31666666666666665,21.067708333333336
4/5*3/5,mul,12/25,256,168,0.65625,43.09,0.4166666666666667,23.958333333333332
3/5*1/4,mul,3/20,256,184,0.71875,48.46,0.5583333333333333,16.041666666666664
2/3*3/5,mul,2/5,256,199,0.77734375,51.43,0.5916666666666667,18.567708333333332
3/5:1/5,div,3,256,76,0.296875,45.95,0.35833333333333334,6.145833333333334
4/5:3/5,div,4/3,256,21,0.08203125,51.87,0.2,11.796875000000002
3/5:1/4,div,12/5,256,32,0.125,63.53,0.25,12.5
2/3:3/5,div,10/9,256,13,0.05078125,52.4,0.15,9.921875
