size,stage,n_rollouts,n_disagree,n_new_only,n_old_only,pct_disagree
0.6B,base,4096,410,115,295,10.009765625
0.6B,distill_ep1,4096,66,51,15,1.611328125
0.6B,hft_ep1,4096,37,25,12,0.9033203125
0.6B,hft_ep2,4096,17,16,1,0.4150390625
0.6B,hft_ep3,4096,11,11,0,0.2685546875
0.6B,hft_ep5,4096,23,18,5,0.5615234375
1.7B,base,4096,345,107,238,8.4228515625
1.7B,distill_ep1,4096,23,16,7,0.5615234375
1.7B,hft_ep1,4096,36,17,19,0.87890625
1.7B,hft_ep2,4096,51,48,3,1.2451171875
1.7B,hft_ep3,4096,38,37,1,0.927734375
1.7B,hft_ep5,4096,44,42,2,1.07421875
4B,base,4096,862,183,679,21.044921875
4B,distill_ep1,4096,72,70,2,1.7578125
4B,hft_ep1,4096,129,75,54,3.1494140625
4B,hft_ep3,4096,83,83,0,2.0263671875
4B,hft_ep5,4096,70,69,1,1.708984375
8B,base,4096,720,196,524,17.578125
8B,distill_ep1,4096,101,101,0,2.4658203125
8B,hft_ep1,4096,128,41,87,3.125
8B,hft_ep2,4096,31,30,1,0.7568359375
8B,hft_ep3,4096,64,63,1,1.5625
8B,hft_ep5,4096,41,39,2,1.0009765625
