size,stage,fmt,n,frac_new_correct,frac_old_correct
0.6B,base,integer,1,0.0,0.0
0.6B,base,other,4023,0.16032811334824756,0.20407655978125777
0.6B,base,plain_fraction,72,0.19444444444444445,0.25
0.6B,distill_ep1,decimal,221,0.23076923076923078,0.0
0.6B,distill_ep1,integer,20,0.0,0.75
0.6B,distill_ep1,other,143,0.32867132867132864,0.32867132867132864
0.6B,distill_ep1,plain_fraction,3712,0.6629849137931034,0.6629849137931034
0.6B,hft_ep1,decimal,162,0.1419753086419753,0.006172839506172839
0.6B,hft_ep1,integer,232,0.12931034482758622,0.14224137931034483
0.6B,hft_ep1,other,392,0.09948979591836735,0.09948979591836735
0.6B,hft_ep1,plain_fraction,3310,0.32628398791540786,0.32809667673716014
0.6B,hft_ep2,decimal,43,0.046511627906976744,0.0
0.6B,hft_ep2,integer,194,0.0979381443298969,0.0979381443298969
0.6B,hft_ep2,mixed_number,199,0.07035175879396985,0.005025125628140704
0.6B,hft_ep2,other,48,0.041666666666666664,0.041666666666666664
0.6B,hft_ep2,plain_fraction,3612,0.301218161683278,0.301218161683278
0.6B,hft_ep3,decimal,27,0.0,0.0
0.6B,hft_ep3,integer,220,0.12727272727272726,0.12272727272727273
0.6B,hft_ep3,mixed_number,201,0.04477611940298507,0.0
0.6B,hft_ep3,other,15,0.13333333333333333,0.06666666666666667
0.6B,hft_ep3,plain_fraction,3633,0.34737131846958436,0.34737131846958436
0.6B,hft_ep5,decimal,33,0.030303030303030304,0.0
0.6B,hft_ep5,integer,202,0.08415841584158416,0.08415841584158416
0.6B,hft_ep5,mixed_number,236,0.07203389830508475,0.01694915254237288
0.6B,hft_ep5,other,17,0.17647058823529413,0.17647058823529413
0.6B,hft_ep5,plain_fraction,3608,0.35171840354767187,0.35199556541019955
1.7B,base,integer,1,0.0,0.0
1.7B,base,other,4008,0.12075848303393213,0.15169660678642716
1.7B,base,plain_fraction,87,0.20689655172413793,0.28735632183908044
1.7B,distill_ep1,decimal,72,0.2222222222222222,0.0
1.7B,distill_ep1,integer,10,0.0,0.7
1.7B,distill_ep1,other,1283,0.5549493374902572,0.5549493374902572
1.7B,distill_ep1,plain_fraction,2731,0.663127059685097,0.663127059685097
1.7B,hft_ep1,decimal,168,0.09523809523809523,0.005952380952380952
1.7B,hft_ep1,integer,148,0.14864864864864866,0.14864864864864866
1.7B,hft_ep1,mixed_number,3,0.0,0.0
1.7B,hft_ep1,other,549,0.273224043715847,0.2987249544626594
1.7B,hft_ep1,plain_fraction,3228,0.476456009913259,0.47738537794299873
1.7B,hft_ep2,decimal,22,0.22727272727272727,0.0
1.7B,hft_ep2,integer,263,0.13688212927756654,0.13307984790874525
1.7B,hft_ep2,mixed_number,316,0.13291139240506328,0.006329113924050633
1.7B,hft_ep2,other,47,0.10638297872340426,0.10638297872340426
1.7B,hft_ep2,plain_fraction,3448,0.42372389791183296,0.4240139211136891
1.7B,hft_ep3,decimal,12,0.0,0.0
1.7B,hft_ep3,integer,218,0.12385321100917432,0.12385321100917432
1.7B,hft_ep3,mixed_number,286,0.1258741258741259,0.0034965034965034965
1.7B,hft_ep3,other,21,0.2857142857142857,0.23809523809523808
1.7B,hft_ep3,plain_fraction,3559,0.38550154537791514,0.38550154537791514
1.7B,hft_ep5,decimal,18,0.1111111111111111,0.05555555555555555
1.7B,hft_ep5,integer,217,0.11059907834101383,0.11059907834101383
1.7B,hft_ep5,mixed_number,292,0.13356164383561644,0.003424657534246575
1.7B,hft_ep5,other,16,0.25,0.1875
1.7B,hft_ep5,plain_fraction,3553,0.41120180129468054,0.41120180129468054
4B,base,integer,12,0.5,0.5833333333333334
4B,base,mixed_number,3,0.3333333333333333,0.0
4B,base,other,3969,0.2418745275888133,0.36432350718065004
4B,base,plain_fraction,112,0.11607142857142858,0.20535714285714285
4B,distill_ep1,decimal,235,0.2978723404255319,0.0
4B,distill_ep1,integer,3,0.0,0.6666666666666666
4B,distill_ep1,other,128,0.2578125,0.2578125
4B,distill_ep1,plain_fraction,3730,0.6959785522788203,0.6959785522788203
4B,hft_ep1,decimal,182,0.35714285714285715,0.02197802197802198
4B,hft_ep1,integer,234,0.18803418803418803,0.1752136752136752
4B,hft_ep1,mixed_number,27,0.1111111111111111,0.0
4B,hft_ep1,other,359,0.20055710306406685,0.3147632311977716
4B,hft_ep1,plain_fraction,3294,0.5318761384335154,0.5333940497874924
4B,hft_ep3,decimal,49,0.2653061224489796,0.0
4B,hft_ep3,integer,170,0.11176470588235295,0.11176470588235295
4B,hft_ep3,mixed_number,281,0.2491103202846975,0.0
4B,hft_ep3,other,9,0.2222222222222222,0.2222222222222222
4B,hft_ep3,plain_fraction,3587,0.48954558126568165,0.48954558126568165
4B,hft_ep5,decimal,39,0.2564102564102564,0.0
4B,hft_ep5,integer,227,0.0881057268722467,0.0881057268722467
4B,hft_ep5,mixed_number,291,0.2027491408934708,0.003436426116838488
4B,hft_ep5,other,2,0.0,0.0
4B,hft_ep5,plain_fraction,3537,0.5021204410517388,0.5021204410517388
8B,base,integer,4,0.0,0.25
8B,base,mixed_number,2,0.5,0.0
8B,base,other,3922,0.2164711881693014,0.3006119326874044
8B,base,plain_fraction,168,0.23214285714285715,0.22023809523809523
8B,distill_ep1,decimal,277,0.36462093862815886,0.0
8B,distill_ep1,integer,4,0.0,0.0
8B,distill_ep1,other,121,0.19834710743801653,0.19834710743801653
8B,distill_ep1,plain_fraction,3694,0.7403898213318896,0.7403898213318896
8B,hft_ep1,decimal,149,0.24161073825503357,0.006711409395973154
8B,hft_ep1,integer,253,0.16600790513833993,0.15810276679841898
8B,hft_ep1,mixed_number,30,0.13333333333333333,0.0
8B,hft_ep1,other,388,0.22164948453608246,0.36597938144329895
8B,hft_ep1,plain_fraction,3276,0.5735653235653235,0.5830280830280831
8B,hft_ep2,decimal,87,0.12643678160919541,0.011494252873563218
8B,hft_ep2,integer,265,0.09056603773584905,0.09056603773584905
8B,hft_ep2,mixed_number,137,0.1386861313868613,0.0072992700729927005
8B,hft_ep2,other,56,0.05357142857142857,0.03571428571428571
8B,hft_ep2,plain_fraction,3551,0.45142213460996905,0.45142213460996905
8B,hft_ep3,decimal,23,0.2608695652173913,0.0
8B,hft_ep3,integer,171,0.15789473684210525,0.15789473684210525
8B,hft_ep3,mixed_number,317,0.17981072555205047,0.0
8B,hft_ep3,other,1,1.0,1.0
8B,hft_ep3,plain_fraction,3584,0.5153459821428571,0.515625
8B,hft_ep5,decimal,14,0.14285714285714285,0.0
8B,hft_ep5,integer,119,0.058823529411764705,0.058823529411764705
8B,hft_ep5,mixed_number,271,0.13653136531365315,0.0036900369003690036
8B,hft_ep5,other,3,0.0,0.0
8B,hft_ep5,plain_fraction,3689,0.4911900243968555,0.49146110056925996
