size,stage,MAE_pp
0.6B,base,34.27734375
1.7B,base,38.4521484375
4B,base,19.671223958333332
8B,base,20.631510416666668
0.6B,distill_ep1,12.7734375
1.7B,distill_ep1,12.825520833333332
4B,distill_ep1,15.408528645833332
8B,distill_ep1,17.975260416666664
0.6B,hft_ep1,22.9248046875
1.7B,hft_ep1,10.908203125
4B,hft_ep1,7.288411458333333
8B,hft_ep1,7.648111979166666
4B,hft_ep3,18.572591145833332
4B,hft_ep5,17.498372395833332
8B,hft_ep3,14.8
8B,hft_ep5,17.718098958333336
8B,hft_ep2,14.46
0.6B,hft_ep2,24.918619791666664
0.6B,hft_ep3,20.939127604166668
0.6B,hft_ep5,21.134440104166668
1.7B,hft_ep2,17.762044270833336
1.7B,hft_ep3,20.349934895833336
1.7B,hft_ep5,19.18131510416667
