size,stage,MAE_new,MAE_old,delta,acc_new,acc_old
0.6B,base,35.4736328125,31.0791015625,4.39453125,0.160888671875,0.204833984375
0.6B,distill_ep1,11.6259765625,12.7978515625,-1.171875,0.624755859375,0.615966796875
0.6B,hft_ep1,22.94921875,23.2666015625,-0.3173828125,0.2861328125,0.282958984375
0.6B,hft_ep2,24.991861979166664,25.358072916666664,-0.3662109375,0.274658203125,0.27099609375
0.6B,hft_ep3,20.939127604166664,21.207682291666664,-0.2685546875,0.317626953125,0.31494140625
0.6B,hft_ep5,21.134440104166664,21.451822916666664,-0.3173828125,0.319091796875,0.31591796875
1.7B,base,39.306640625,36.1083984375,3.1982421875,0.12255859375,0.154541015625
1.7B,distill_ep1,12.960611979166666,13.382161458333332,-0.4215494791666661,0.619873046875,0.61767578125
1.7B,hft_ep1,11.103515625,11.25,-0.146484375,0.42138671875,0.421875
1.7B,hft_ep2,17.762044270833336,18.860677083333336,-1.0986328125,0.378173828125,0.3671875
1.7B,hft_ep3,20.349934895833336,21.228841145833336,-0.87890625,0.351806640625,0.343017578125
1.7B,hft_ep5,19.205729166666664,20.182291666666664,-0.9765625,0.37353515625,0.36376953125
4B,base,28.541666666666664,19.231770833333336,9.309895833333329,0.2392578125,0.3603515625
4B,distill_ep1,14.630533854166666,15.021158854166666,-0.390625,0.658935546875,0.642333984375
4B,hft_ep1,7.337239583333333,7.117513020833333,0.2197265625,0.47265625,0.467529296875
4B,hft_ep3,15.227864583333334,17.205403645833336,-1.9775390625000018,0.4541015625,0.433837890625
4B,hft_ep5,16.082356770833336,17.644856770833336,-1.5625,0.455322265625,0.438720703125
8B,base,31.1474609375,23.341471354166664,7.805989583333336,0.217041015625,0.297119140625
8B,distill_ep1,18.525390625,18.2080078125,0.3173828125,0.6982421875,0.673583984375
8B,hft_ep1,7.648111979166666,7.599283854166667,0.04882812499999911,0.499755859375,0.510986328125
8B,hft_ep2,14.713541666666668,15.421549479166666,-0.7080078124999982,0.4052734375,0.398193359375
8B,hft_ep3,14.899088541666668,16.412760416666668,-1.513671875,0.47314453125,0.4580078125
8B,hft_ep5,17.278645833333336,18.181966145833336,-0.9033203125,0.45361328125,0.444580078125
