model,set,mean_pct,n_problems
base,sd_add,12.345679012345679,81
base,sd_mul,9.375,64
base,ALL,11.03448275862069,145
distilled-60,sd_add,70.37037037037037,81
distilled-60,sd_mul,31.25,64
distilled-60,ALL,53.103448275862064,145
distilled-100,sd_add,92.5925925925926,81
distilled-100,sd_mul,100.0,64
distilled-100,ALL,95.86206896551724,145
uma-60,sd_add,85.12345679012344,81
uma-60,sd_mul,62.78645833333334,64
uma-60,ALL,75.26436781609195,145
uma-1000,sd_add,98.07283950617285,81
uma-1000,sd_mul,94.390625,64
uma-1000,ALL,96.44758620689655,145
