model,set,prob,accuracy
base,sd_add,1+1,0.0
base,sd_add,1+2,1.0
base,sd_add,1+3,0.0
base,sd_add,1+4,0.0
base,sd_add,1+5,0.0
base,sd_add,1+6,0.0
base,sd_add,1+7,0.0
base,sd_add,1+8,0.0
base,sd_add,1+9,1.0
base,sd_add,2+1,0.0
base,sd_add,2+2,1.0
base,sd_add,2+3,0.0
base,sd_add,2+4,0.0
base,sd_add,2+5,0.0
base,sd_add,2+6,0.0
base,sd_add,2+7,0.0
base,sd_add,2+8,0.0
base,sd_add,2+9,0.0
base,sd_add,3+1,0.0
base,sd_add,3+2,0.0
base,sd_add,3+3,0.0
base,sd_add,3+4,1.0
base,sd_add,3+5,0.0
base,sd_add,3+6,0.0
base,sd_add,3+7,1.0
base,sd_add,3+8,0.0
base,sd_add,3+9,0.0
base,sd_add,4+1,0.0
base,sd_add,4+2,0.0
base,sd_add,4+3,0.0
base,sd_add,4+4,0.0
base,sd_add,4+5,0.0
base,sd_add,4+6,0.0
base,sd_add,4+7,0.0
base,sd_add,4+8,0.0
base,sd_add,4+9,0.0
base,sd_add,5+1,0.0
base,sd_add,5+2,0.0
base,sd_add,5+3,0.0
base,sd_add,5+4,0.0
base,sd_add,5+5,0.0
base,sd_add,5+6,0.0
base,sd_add,5+7,0.0
base,sd_add,5+8,0.0
base,sd_add,5+9,0.0
base,sd_add,6+1,0.0
base,sd_add,6+2,0.0
base,sd_add,6+3,0.0
base,sd_add,6+4,1.0
base,sd_add,6+5,0.0
base,sd_add,6+6,0.0
base,sd_add,6+7,0.0
base,sd_add,6+8,0.0
base,sd_add,6+9,1.0
base,sd_add,7+1,0.0
base,sd_add,7+2,0.0
base,sd_add,7+3,0.0
base,sd_add,7+4,0.0
base,sd_add,7+5,0.0
base,sd_add,7+6,0.0
base,sd_add,7+7,0.0
base,sd_add,7+8,0.0
base,sd_add,7+9,0.0
base,sd_add,8+1,0.0
base,sd_add,8+2,0.0
base,sd_add,8+3,0.0
base,sd_add,8+4,0.0
base,sd_add,8+5,0.0
base,sd_add,8+6,0.0
base,sd_add,8+7,0.0
base,sd_add,8+8,0.0
base,sd_add,8+9,0.0
base,sd_add,9+1,1.0
base,sd_add,9+2,0.0
base,sd_add,9+3,0.0
base,sd_add,9+4,0.0
base,sd_add,9+5,0.0
base,sd_add,9+6,0.0
base,sd_add,9+7,1.0
base,sd_add,9+8,0.0
base,sd_add,9+9,1.0
base,sd_mul,2*2,0.0
base,sd_mul,2*3,0.0
base,sd_mul,2*4,0.0
base,sd_mul,2*5,0.0
base,sd_mul,2*6,0.0
base,sd_mul,2*7,0.0
base,sd_mul,2*8,0.0
base,sd_mul,2*9,0.0
base,sd_mul,3*2,0.0
base,sd_mul,3*3,1.0
base,sd_mul,3*4,0.0
base,sd_mul,3*5,0.0
base,sd_mul,3*6,0.0
base,sd_mul,3*7,0.0
base,sd_mul,3*8,0.0
base,sd_mul,3*9,0.0
base,sd_mul,4*2,1.0
base,sd_mul,4*3,0.0
