bin,subjid,accuracy,bin_lo_acc,bin_hi_acc,bin_size
0,10,0.36551724137931035,0.013793103448275862,0.45517241379310347,10
1,11,0.5241379310344828,0.4689655172413793,0.6137931034482759,10
2,40,0.6413793103448275,0.6137931034482759,0.6482758620689655,10
3,120,0.6827586206896552,0.6551724137931034,0.6896551724137931,10
4,48,0.7034482758620689,0.6896551724137931,0.7241379310344828,10
5,101,0.7379310344827587,0.7310344827586207,0.7448275862068966,10
6,31,0.7655172413793103,0.7517241379310344,0.7793103448275862,10
7,43,0.8,0.7793103448275862,0.8068965517241379,10
8,83,0.8206896551724138,0.8068965517241379,0.8344827586206897,10
9,165,0.8551724137931035,0.8413793103448276,0.8827586206896552,10
10,57,0.896551724137931,0.8827586206896552,0.903448275862069,10
11,13,0.9172413793103448,0.903448275862069,0.9241379310344827,10
12,166,0.9379310344827586,0.9241379310344827,0.9517241379310345,10
13,171,0.9586206896551724,0.9517241379310345,0.9655172413793104,10
14,64,0.9724137931034482,0.9655172413793104,0.9793103448275862,10
15,69,0.9793103448275862,0.9793103448275862,0.9793103448275862,10
16,800,0.9793103448275862,0.9793103448275862,0.9862068965517241,10
17,600,0.9862068965517241,0.9862068965517241,0.993103448275862,10
18,181,0.993103448275862,0.993103448275862,0.993103448275862,10
19,367,0.993103448275862,0.993103448275862,0.993103448275862,10
20,109,1.0,0.993103448275862,1.0,10
21,131,1.0,1.0,1.0,10
22,146,1.0,1.0,1.0,10
23,162,1.0,1.0,1.0,10
24,178,1.0,1.0,1.0,10
25,204,1.0,1.0,1.0,10
26,218,1.0,1.0,1.0,10
27,231,1.0,1.0,1.0,10
28,242,1.0,1.0,1.0,10
29,252,1.0,1.0,1.0,10
30,264,1.0,1.0,1.0,10
31,277,1.0,1.0,1.0,10
32,292,1.0,1.0,1.0,10
33,303,1.0,1.0,1.0,10
34,315,1.0,1.0,1.0,10
35,327,1.0,1.0,1.0,10
36,337,1.0,1.0,1.0,10
37,349,1.0,1.0,1.0,10
38,359,1.0,1.0,1.0,10
39,372,1.0,1.0,1.0,10
40,386,1.0,1.0,1.0,10
41,397,1.0,1.0,1.0,10
42,409,1.0,1.0,1.0,10
43,419,1.0,1.0,1.0,10
44,430,1.0,1.0,1.0,10
45,440,1.0,1.0,1.0,10
46,450,1.0,1.0,1.0,10
47,460,1.0,1.0,1.0,10
48,471,1.0,1.0,1.0,10
49,482,1.0,1.0,1.0,10
50,493,1.0,1.0,1.0,10
51,505,1.0,1.0,1.0,10
52,515,1.0,1.0,1.0,10
53,526,1.0,1.0,1.0,10
54,536,1.0,1.0,1.0,10
55,547,1.0,1.0,1.0,10
56,557,1.0,1.0,1.0,10
57,569,1.0,1.0,1.0,10
58,579,1.0,1.0,1.0,10
59,590,1.0,1.0,1.0,10
60,601,1.0,1.0,1.0,10
61,611,1.0,1.0,1.0,10
62,621,1.0,1.0,1.0,10
63,631,1.0,1.0,1.0,10
64,642,1.0,1.0,1.0,10
65,652,1.0,1.0,1.0,10
66,662,1.0,1.0,1.0,10
67,672,1.0,1.0,1.0,10
68,682,1.0,1.0,1.0,10
69,692,1.0,1.0,1.0,10
70,702,1.0,1.0,1.0,10
71,712,1.0,1.0,1.0,10
72,722,1.0,1.0,1.0,10
73,732,1.0,1.0,1.0,10
74,742,1.0,1.0,1.0,10
75,752,1.0,1.0,1.0,10
76,762,1.0,1.0,1.0,10
77,772,1.0,1.0,1.0,10
78,783,1.0,1.0,1.0,10
79,793,1.0,1.0,1.0,10
80,804,1.0,1.0,1.0,10
81,814,1.0,1.0,1.0,10
82,824,1.0,1.0,1.0,10
83,834,1.0,1.0,1.0,10
84,844,1.0,1.0,1.0,10
85,854,1.0,1.0,1.0,10
86,864,1.0,1.0,1.0,10
87,874,1.0,1.0,1.0,10
88,884,1.0,1.0,1.0,10
89,894,1.0,1.0,1.0,10
90,904,1.0,1.0,1.0,10
91,914,1.0,1.0,1.0,10
92,924,1.0,1.0,1.0,10
93,935,1.0,1.0,1.0,10
94,945,1.0,1.0,1.0,10
95,955,1.0,1.0,1.0,10
96,965,1.0,1.0,1.0,10
97,975,1.0,1.0,1.0,10
98,985,1.0,1.0,1.0,10
99,995,1.0,1.0,1.0,10
